// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2024 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

0
// -----------------------------------------------------------------------------
// [0~9]        [*/N]  [*/0~12]  [*/0~31]  [*/1~7]  [*/0~23]  [*/0~59]  [*/0~59]
// EventIndex   Year   Month     Day       DoW      Hour      Minute    Second
// -----------------------------------------------------------------------------
   0            *      *         *         *        20        0         0
end

1
// ------------------------------------------------------------------------------------------------------------------------
// [0~9]        [Max 128 Char]                                   [0~255]     [0~255]     [0~30]       [1~59]      [InMin]
// EventIndex   Name                                 MapNumber   LocationX   LocationY   DropRadius   AlarmTime   EventTime
// ------------------------------------------------------------------------------------------------------------------------
   0            "Custom Event Drop"                  0           145         135         5            5           3
end

2
// --------------------------------------------------------------------
// [0~9]        [00,000]    [0~13]      [0~100]     [InSec]
// EventIndex   ItemIndex   ItemLevel   DropCount   DropDelay   Comment
// --------------------------------------------------------------------
   0            12,012      0           3           00          //Jewel of Chaos
   0            12,012      0           3           10          //Jewel of Chaos
   0            12,012      0           3           20          //Jewel of Chaos
   0            14,013      0           3           30          //Jewel of Bless
   0            14,013      0           3           40          //Jewel of Bless
   0            14,014      0           3           50          //Jewel of Bless
   0            14,014      0           3           60          //Jewel of Soul
   0            14,014      0           3           70          //Jewel of Soul
   0            14,014      0           3           80          //Jewel of Soul
   0            14,016      0           3           90          //Jewel of Life
   0            14,016      0           3           100         //Jewel of Life
   0            14,016      0           3           110         //Jewel of Life
end
