// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

// ---------------------------------------------------------------------------
// [00,000]    [0~85]     [Index]        [Index]        [0~10000]
// ItemIndex   StatType   OptionIndex1   OptionIndex2   ItemDropRate   Comment
// ---------------------------------------------------------------------------
   00,002      0          21             0              10000          //Rapier
   00,014      0          11             0              10000          //Lighting Sword
   02,001      0          1              0              10000          //Morning Star
   04,005      1          29             0              10000          //Silver Bow
   04,009      1          23             0              10000          //Golden Crossbow
   05,000      2          13             0              10000          //Skull Staff
   06,006      3          17             0              10000          //Skull Shield
   06,009      3          5              0              10000          //Plate Shield
   07,001      3          11             0              10000          //Dragon Helm
   07,002      3          13             0              10000          //Pad Helm
   07,003      3          19             0              10000          //Legendary Helm
   07,005      3          1              0              10000          //Leather Helm
   07,006      3          5              0              10000          //Scale Helm
   07,007      3          17             0              10000          //Sphinx Mask
   07,010      3          21             0              10000          //Vine Helm
   07,011      3          23             0              10000          //Silk Helm
   07,012      3          25             0              10000          //Wind Helm
   08,000      3          3              0              10000          //Bronze Armor
   08,002      3          13             0              10000          //Pad Armor
   08,003      3          19             0              10000          //Legendary Armor
   08,004      3          15             0              10000          //Bone Armor
   08,005      3          1              0              10000          //Leather Armor
   08,006      3          5              0              10000          //Scale Armor
   08,007      3          17             0              10000          //Sphinx Armor
   08,008      3          7              0              10000          //Brass Armor
   08,009      3          9              0              10000          //Brass Armor
   08,011      3          23             0              10000          //Silk Armor
   08,012      3          25             0              10000          //Wind Armor
   08,013      3          27             0              10000          //Spirit Armor
   08,014      3          29             0              10000          //Guardian Armor
   08,015      3          31             0              10000          //Storm Crow Armor
   09,000      3          3              0              10000          //Bronze Pants
   09,002      3          13             0              10000          //Pad Pants
   09,004      3          15             0              10000          //Bone Pants
   09,005      3          1              0              10000          //Leather Pants
   09,006      3          5              0              10000          //Scale Pants
   09,007      3          17             0              10000          //Sphinx Pants
   09,008      3          7              0              10000          //Brass Pants
   09,010      3          21             0              10000          //Vine Pants
   09,011      3          23             0              10000          //Silk Pants
   09,012      3          25             0              10000          //Wiln Pants
   09,013      3          27             0              10000          //Spirit Pants
   09,015      3          31             0              10000          //Storm Crow Pants
   10,001      3          11             0              10000          //Dragon Gloves
   10,002      3          13             0              10000          //Pad Gloves
   10,003      3          19             0              10000          //Legendary Gloves
   10,005      3          1              0              10000          //Leather Gloves
   10,007      3          17             0              10000          //Sphinx Gloves
   10,008      3          7              0              10000          //Brass Gloves
   10,009      3          9              0              10000          //Plate Gloves
   10,010      3          21             0              10000          //Vine Gloves
   10,011      3          23             0              10000          //Silk Gloves
   10,012      3          25             0              10000          //Wind Gloves
   10,013      3          27             0              10000          //Spirit Gloves
   10,014      3          29             0              10000          //Guardian Gloves
   11,000      3          3              0              10000          //Bronze Boots
   11,001      3          11             0              10000          //Dragon Boots
   11,004      3          15             0              10000          //Bone Boots
   11,005      3          1              0              10000          //Leather Boots
   11,007      3          17             0              10000          //Sphinx Boots
   11,008      3          7              0              10000          //Brass Boots
   11,009      3          9              0              10000          //Plate Boots
   11,010      3          21             0              10000          //Vine Boots
   11,012      3          25             0              10000          //Wind Boots
   11,014      3          29             0              10000          //Guardian Boots
   11,015      3          31             0              10000          //Storm Crow Boots
   13,008      1          1              0              10000          //Ring of Ice
   13,009      3          9              0              10000          //Ring of Poison
   13,012      2          5              0              10000          //Pendant of Lighting
   13,013      0          7              0              10000          //Pendant of Fire
   13,021      2          19             0              10000          //Ring of Fire
   13,022      0          21             0              10000          //Ring of Earth
   13,023      1          9              0              10000          //Ring of Wind
   13,024      2          13             0              10000          //Ring of Magic
   13,025      0          13             0              10000          //Pendant of Ice
   13,026      1          15             0              10000          //Pendant of Wind
   13,027      3          31             0              10000          //Pendant of Water
   13,028      1          29             0              10000          //Pendant of Ability
end
