// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

0
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   232            0             10          9           1
end

4
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   139            30            13          45          6
   142            30            13          78          6
   140            30            15          46          6
   142            30            14          83          6
   142            30            14          78          6
   140            30            15          63          6
   141            30            13          69          6
   138            30            14          34          6
   140            30            15          53          6
   139            30            13          23          6
   139            30            15          43          6
   138            30            14          38          6
   140            30            13          65          6
   142            30            15          78          6
   140            30            13          67          6
   141            30            14          61          6
   142            30            16          80          6
   140            30            15          59          6
   140            30            13          59          6
   140            30            15          55          6
   139            30            15          39          6
   138            30            13          35          6
   140            30            13          62          6
   141            30            13          55          6
   139            30            15          37          6
   138            30            13          28          6
   139            30            13          29          6
   139            30            15          28          6
   139            30            13          25          6
   139            30            13          21          6
   139            30            14          22          6
   139            30            15          21          6
   139            30            13          31          6
   139            30            15          30          6
   139            30            15          33          6
   141            30            14          58          6
   138            30            15          35          6
   138            30            14          33          6
   138            30            15          41          6
   138            30            14          42          6
   139            30            14          21          6
   138            30            15          25          6
   138            30            15          23          6
   138            30            13          26          6
   140            30            13          41          6
   140            30            15          69          6
   138            30            13          37          6
   139            30            13          43          6
   140            30            13          50          6
   140            30            15          48          6
   140            30            13          46          6
   142            30            15          62          6
   141            30            14          52          6
   141            30            15          50          6
   141            30            15          66          6
   142            30            17          83          6
   142            30            14          90          6
   142            30            11          83          6
   142            30            15          94          6
   138            30            14          40          6
   138            30            13          39          6
   142            30            20          82          6
   142            30            20          88          6
   138            30            14          27          6
   138            30            14          24          6
   138            30            14          32          6
   140            30            14          44          6
   140            30            15          51          6
   140            30            14          49          6
   141            30            14          56          6
   140            30            15          57          6
   140            30            14          64          6
   140            30            14          67          6
   141            30            14          70          6
   140            30            13          53          6
   138            30            15          45          6
   142            30            14          54          6
   142            30            14          36          6
   142            30            15          68          6
   141            30            13          48          6
   142            30            14          47          6
   141            30            13          63          6
   140            30            15          65          6
   140            30            15          60          6
   140            30            13          57          6
   138            30            15          31          6
   139            30            15          26          6
   143            30            16          87          6
   143            30            12          81          6
   143            30            13          88          6
   143            30            13          85          6
   143            30            19          85          6
   143            30            13          93          6
   143            30            14          80          6
   143            30            18          81          6
end
