// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

0
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
end

1
// ----------------------------------------------------------------------------------------------------------
//                [0~30]        [1~255]       [1~255]       [1~255]     [1~255]     [*/0~8]     [1~1000]
// MonsterIndex   SpawnRadius   RangeStartX   RangeStartY   RangeEndX   RangeEndY   Direction   MaxSpawnCount
// ----------------------------------------------------------------------------------------------------------
end

2
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   263            30            30          75          *
   263            30            35          21          *
   263            30            28          17          *
   263            30            36          11          *
   263            30            51          11          *
   263            30            42          12          *
   263            30            45          22          *
   263            30            52          24          *
   263            30            53          17          *
   263            30            60          9           *
   264            30            67          22          *
   263            30            60          22          *
   264            30            69          9           *
   264            30            74          14          *
   264            30            82          8           *
   264            30            81          19          *
   264            30            86          13          *
   264            30            92          6           *
   264            30            96          16          *
   264            30            99          9           *
   264            30            109         19          *
   262            30            110         9           *
   262            30            118         17          *
   262            30            110         35          *
   262            30            121         27          *
   262            30            119         35          *
   262            30            114         44          *
   260            30            120         50          *
   260            30            105         54          *
   260            30            119         57          *
   260            30            110         65          *
   260            30            121         67          *
   262            30            108         28          *
   260            30            111         72          *
   260            30            105         86          *
   265            30            118         84          *
   260            30            118         95          *
   265            30            104         101         *
   265            30            115         106         *
   265            30            93          96          *
   265            30            93          84          *
   265            30            82          85          *
   265            30            82          77          *
   265            30            74          76          *
   261            30            87          90          *
   261            30            68          77          *
   261            30            63          72          *
   261            30            58          78          *
   260            30            120         75          *
   261            30            57          71          *
   266            30            32          50          *
   266            30            42          51          *
   266            30            38          58          *
   266            30            29          65          *
   266            30            46          66          *
   266            30            42          97          *
   266            30            37          109         *
   266            30            47          107         *
   266            30            53          93          *
   266            30            35          87          *
   267            30            26          76          *
end
