// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

//------------------------------------------------------------------------------------------------------------------------------
//Index   MonsterClass   CurrentState   RequireIndex   RequireState   RequireMinLevel   RequireMaxLevel   DW   DK   FE   MG   DL
//------------------------------------------------------------------------------------------------------------------------------
0         235            3              *              *              150               *                 1    1    1    0    0
1         235            3              0              2              150               *                 1    1    1    0    0
2         229            3              1              2              220               *                 2    2    2    0    0
3         229            3              2              2              220               *                 0    2    0    0    0
0         235            0              *              *              150               *                 1    1    1    0    0
1         235            0              0              2              150               *                 1    1    1    0    0
2         229            0              1              2              220               *                 2    2    2    0    0
3         229            0              2              2              220               *                 0    2    0    0    0
0         235            1              *              *              150               *                 1    1    1    0    0
1         235            1              0              2              150               *                 1    1    1    0    0
2         229            1              1              2              220               *                 2    2    2    0    0
3         229            1              2              2              220               *                 0    2    0    0    0
3         229            2              2              2              220               *                 0    2    0    0    0
2         229            2              1              2              220               *                 2    2    2    0    0
1         235            2              0              2              150               *                 1    1    1    0    0
0         235            2              *              *              150               *                 1    1    1    0    0
end
