// ============================================================================
// SILENTDEVS - QUIZ PERSONALIZADO
// ESTADO VALIDADO: ACTIVO; CustomQuizSwitch=1 en GS y GSCS
// SOURCE EX603: CCustomQuiz::Load (cargado desde ServerInfo.cpp).
// FUNCION: Programa preguntas globales y premios por respuesta correcta.
// REGLAS: * equivale a -1 (sin limite, cualquier valor o valor original, segun el campo).
//          Los bloques numericos terminan con end. No elimine ni reordene columnas.
// ============================================================================

// SECCION 0 - HORARIOS
// Index Year Month Day DayOfWeek Hour Minute Second
0
0         *      *       *     *     *      10       0
end

// SECCION 1 - DATOS DEL EVENTO
// Index Name AlarmMin EventMin
1
0         "Quiz"                        3           3
end

// SECCION 2 - PREGUNTAS Y PREMIOS
//  Index   Coin1   Coin2    Coin3   Question                                                     Answer
2                                                                                                 
	  0      10       0       0	     "Cidade Maravilhosa?"					                      "Rio de Janeiro"	
	  1      10       0       0	     "10+2x2?"							                          "14"
	  2      10       0       0	     "Qual o site do jogo?"					                      "www.seusite.com"
	  3      10       0       0	     "Um dos maiores cientistas do mundo?"		                  "Albert Einstein"
	  4      10       0       0	     "Quantas vezes o Brasil foi campeon mundial(futebol)?"	      "5"
	  5      10       0       0	     "Em que ano foi lanzado o jogo Mu Online?"			          "2003"
	  6      10       0       0	     "Qual o nick exato do ADM do jogo?"			              "TesteADM"
	  7      10       0       0	     "Qual o nome exato do servidor?"				              "Seu Servidor"
	  8      10       0       0	     "Quando um jogador es novato, qual nome lhe damos?"		  "Noob"
	  9      10       0       0	     "Quantos estados tem o Brasil?"				              "26"
	  10     10       0       0	     "Em que continente fica localizada a Italia?"		          "Continente Europeu"
end
