// ============================================================================
//   SilentDevs Drop Configuration
//   ..........................................................................
//   Emulator : SilentDevs MU Online Emulator
//   Website  : https://www.SilentDevs.net
//   Author   : SilentDevs Development
//   Notice   : This file is part of the SilentDevs MuOnline Server files.
// ============================================================================


2
// -------------------------------------------------------------
// Index   MapNumber   Rate_AL0   Rate_AL1   Rate_AL2   Rate_AL3
// -------------------------------------------------------------
   0       *             100         100         100         100
end

3
// --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
// Index   Group   SectionRate   ItemDropRate   MoneyAmount   SetItemDropRate   ItemDropCount   EffectValue   RewardType   Coin1   Coin2   Coin3   DW   DK   FE   MG   DL   SU   RF
// --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   0       0       10000         100             1000          0                 1               0             0             0       0       0     1     1    1    1    1    1    1
end

4
// ---------------------------------------------------------------------------------------------------------------------------------------
// Group   Index     Level   Grade   Durability   Option0   Option1   Option2   Option3   Option4   Option5   Option6   Duration   Comment
// ---------------------------------------------------------------------------------------------------------------------------------------
// Group 0 - Excellent weapons [Exc 1~3, Skill/Luck where applicable]
   0       03,010    0       0       0            *         12        12        *         21        *         *         0          //Dragon Spear [Exc 1~3, Skill, Luck]
   0       00,016    0       0       0            *         12        12        *         21        *         *         0          //Sword of Destruction [Exc 1~3, Skill, Luck]
   0       04,017    0       0       0            *         12        12        *         21        *         *         0          //Celestial Bow [Exc 1~3, Skill, Luck]
   0       02,010    0       0       0            *         12        12        *         21        *         *         0          //Great Scepter [Exc 1~3, Skill, Luck]
   0       04,016    0       0       0            *         12        12        *         21        *         *         0          //Saint Crossbow [Exc 1~3, Skill, Luck]
   0       05,008    0       0       0            *         *         12        *         21        *         *         0          //Staff of Destruction [Exc 1~3, Luck]
   0       05,009    0       0       0            *         *         12        *         21        *         *         0          //Dragon Soul Staff [Exc 1~3, Luck]

// Group 0 - Excellent sets [Level +3~5, Luck]
   0       07,021   0       0       0            33        *         12        *         21        *         *         0         //Great Dragon Helm [Level +3~5, Luck , Exc 1~3]
   0       08,021   0       0       0            33        *         12        *         21        *         *         0         //Great Dragon Armor [Level +3~5, Luck , Exc 1~3]
   0       09,021   0       0       0            33        *         12        *         21        *         *         0         //Great Dragon Pants [Level +3~5, Luck , Exc 1~3]
   0       10,021   0       0       0            33        *         12        *         21        *         *         0         //Great Dragon Gloves [Level +3~5, Luck , Exc 1~3]
   0       11,021   0       0       0            33        *         12        *         21        *         *         0         //Great Dragon Boots [Level +3~5, Luck , Exc 1~3]
   0       07,022   0       0       0            33        *         12        *         21        *         *         0         //Dark Soul Helm [Level +3~5, Luck , Exc 1~3]
   0       08,022   0       0       0            33        *         12        *         21        *         *         0         //Dark Soul Armor [Level +3~5, Luck , Exc 1~3]
   0       09,022   0       0       0            33        *         12        *         21        *         *         0         //Dark Soul Pants [Level +3~5, Luck , Exc 1~3]
   0       10,022   0       0       0            33        *         12        *         21        *         *         0         //Dark Soul Gloves [Level +3~5, Luck , Exc 1~3]
   0       11,022   0       0       0            33        *         12        *         21        *         *         0         //Dark Soul Boots [Level +3~5, Luck , Exc 1~3]
   0       07,028   0       0       0            33        *         12        *         21        *         *         0         //Dark Master Helm [Level +3~5, Luck , Exc 1~3]
   0       08,028   0       0       0            33        *         12        *         21        *         *         0         //Dark Master Armor [Level +3~5, Luck , Exc 1~3]
   0       09,028   0       0       0            33        *         12        *         21        *         *         0         //Dark Master Pants [Level +3~5, Luck , Exc 1~3]
   0       10,028   0       0       0            33        *         12        *         21        *         *         0         //Dark Master Gloves [Level +3~5, Luck , Exc 1~3]
   0       11,028   0       0       0            33        *         12        *         21        *         *         0         //Dark Master Boots [Level +3~5, Luck , Exc 1~3]
   0       07,024   0       0       0            33        *         12        *         21        *         *         0         //Red Spirit Helm [Level +3~5, Luck , Exc 1~3]
   0       08,024   0       0       0            33        *         12        *         21        *         *         0         //Red Spirit Armor [Level +3~5, Luck , Exc 1~3]
   0       09,024   0       0       0            33        *         12        *         21        *         *         0         //Red Spirit Pants [Level +3~5, Luck , Exc 1~3]
   0       10,024   0       0       0            33        *         12        *         21        *         *         0         //Red Spirit Gloves [Level +3~5, Luck , Exc 1~3]
   0       11,024   0       0       0            33        *         12        *         21        *         *         0         //Red Spirit Boots [Level +3~5, Luck , Exc 1~3]
   0       07,023   0       0       0            33        *         12        *         21        *         *         0         //Hurricane Helm [Level +3~5, Luck , Exc 1~3]
   0       08,023   0       0       0            33        *         12        *         21        *         *         0         //Hurricane Armor [Level +3~5, Luck , Exc 1~3]
   0       09,023   0       0       0            33        *         12        *         21        *         *         0         //Hurricane Pants [Level +3~5, Luck , Exc 1~3]
   0       10,023   0       0       0            33        *         12        *         21        *         *         0         //Hurricane Gloves [Level +3~5, Luck , Exc 1~3]
   0       11,023   0       0       0            33        *         12        *         21        *         *         0         //Hurricane Boots [Level +3~5, Luck , Exc 1~3]

// Group 0 - Excellent sets [Exc 1~3, Luck]
   0       08,016    0       0       0            *         *         12        *         21        *         *         0          //Black Dragon Armor [Exc 1~3, Luck]
   0       09,016    0       0       0            *         *         12        *         21        *         *         0          //Black Dragon Pants [Exc 1~3, Luck]
   0       11,016    0       0       0            *         *         12        *         21        *         *         0          //Black Dragon Boots [Exc 1~3, Luck]
   0       07,016    0       0       0            *         *         12        *         21        *         *         0          //Black Dragon Helm [Exc 1~3, Luck]
   0       10,016    0       0       0            *         *         12        *         21        *         *         0          //Black Dragon Gloves [Exc 1~3, Luck]
   0       08,018    0       0       0            *         *         12        *         21        *         *         0          //Grand Soul Armor [Exc 1~3, Luck]
   0       09,018    0       0       0            *         *         12        *         21        *         *         0          //Grand Soul Pants [Exc 1~3, Luck]
   0       11,018    0       0       0            *         *         12        *         21        *         *         0          //Grand Soul Boots [Exc 1~3, Luck]
   0       07,018    0       0       0            *         *         12        *         21        *         *         0          //Grand Soul Helm [Exc 1~3, Luck]
   0       10,018    0       0       0            *         *         12        *         21        *         *         0          //Grand Soul Gloves [Exc 1~3, Luck]
   0       08,019    0       0       0            *         *         12        *         21        *         *         0          //Holy Spirit Armor [Exc 1~3, Luck]
   0       09,019    0       0       0            *         *         12        *         21        *         *         0          //Holy Spirit Pants [Exc 1~3, Luck]
   0       11,019    0       0       0            *         *         12        *         21        *         *         0          //Holy Spirit Boots [Exc 1~3, Luck]
   0       07,019    0       0       0            *         *         12        *         21        *         *         0          //Holy Spirit Helm [Exc 1~3, Luck]
   0       10,019    0       0       0            *         *         12        *         21        *         *         0          //Holy Spirit Gloves [Exc 1~3, Luck]
   0       08,020    0       0       0            *         *         12        *         21        *         *         0          //Thunder Hawk Armor [Exc 1~3, Luck]
   0       09,020    0       0       0            *         *         12        *         21        *         *         0          //Thunder Hawk Pants [Exc 1~3, Luck]
   0       11,020    0       0       0            *         *         12        *         21        *         *         0          //Thunder Hawk Boots [Exc 1~3, Luck]
   0       07,020    0       0       0            *         *         12        *         21        *         *         0          //Thunder Hawk Helm [Exc 1~3, Luck]
   0       10,020    0       0       0            *         *         12        *         21        *         *         0          //Thunder Hawk Gloves [Exc 1~3, Luck]
   0       08,027    0       0       0            *         *         12        *         21        *         *         0          //Dark Steel Armor [Exc 1~3, Luck]
   0       09,027    0       0       0            *         *         12        *         21        *         *         0          //Dark Steel Pants [Exc 1~3, Luck]
   0       11,027    0       0       0            *         *         12        *         21        *         *         0          //Dark Steel Boots [Exc 1~3, Luck]
   0       07,027    0       0       0            *         *         12        *         21        *         *         0          //Dark Steel Helm [Exc 1~3, Luck]
   0       10,027    0       0       0            *         *         12        *         21        *         *         0          //Dark Steel Gloves [Exc 1~3, Luck]
end
