// ============================================================================
//   SilentDevs Drop Configuration
//   ..........................................................................
//   Emulator : SilentDevs MU Online Emulator
//   Website  : https://www.SilentDevs.net
//   Author   : SilentDevs Development
//   Notice   : This file is part of the SilentDevs MuOnline Server files.
// ============================================================================


2
// -------------------------------------------------------------
// Index   MapNumber   Rate_AL0   Rate_AL1   Rate_AL2   Rate_AL3
// -------------------------------------------------------------
   0       *             100         100         100         100
end

3
// --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
// Index   Group   SectionRate   ItemDropRate   MoneyAmount   SetItemDropRate   ItemDropCount   EffectValue   RewardType   Coin1   Coin2   Coin3   DW   DK   FE   MG   DL   SU   RF
// --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   0       0       7000          100             0             0                 3               0             0             0       0       0     1     1    1    1    1    1    1
   0       1       3000          100             0             0                 3               0             0             0       0       0     1     1    1    1    1    1    1
end

4
// ---------------------------------------------------------------------------------------------------------------------------------------
// Group   Index     Level   Grade   Durability   Option0   Option1   Option2   Option3   Option4   Option5   Option6   Duration   Comment
// ---------------------------------------------------------------------------------------------------------------------------------------
// Group 0 - Excellent Kundun items [Level +1~4, Skill/Luck where applicable]
   0       00,017   0       0       0            30        12        12        *         21        *         *         0         //Dark Breaker [Level +1~4, Skill, Luck , Exc 1~3]
   0       00,018   0       0       0            30        12        12        *         21        *         *         0         //Thunder Blade [Level +1~4, Skill, Luck , Exc 1~3]
   0       00,031   0       0       0            30        12        12        *         21        *         *         0         //Rune Blade [Level +1~4, Skill, Luck , Exc 1~3]
   0       00,020   0       0       0            30        12        12        *         21        *         *         0         //Knight Blade [Level +1~4, Skill, Luck , Exc 1~3]
   0       00,021   0       0       0            30        12        12        *         21        *         *         0         //Dark Reign Blade [Level +1~4, Skill, Luck , Exc 1~3]
   0       00,022   0       0       0            30        12        12        *         21        *         *         0         //Bone Blade [Level +1~4, Skill, Luck , Exc 1~3]
   0       00,023   0       0       0            30        12        12        *         21        *         *         0         //Explosion Blade [Level +1~4, Skill, Luck , Exc 1~3]
   0       04,019   0       0       0            30        12        12        *         21        *         *         0         //Great Reign Crossbow [Level +1~4, Skill, Luck , Exc 1~3]
   0       04,020   0       0       0            30        12        12        *         21        *         *         0         //Arrow Viper Bow [Level +1~4, Skill, Luck , Exc 1~3]
   0       04,021   0       0       0            30        12        12        *         21        *         *         0         //Sylph Wind Bow [Level +1~4, Skill, Luck , Exc 1~3]
   0       02,014   0       0       0            30        12        12        *         21        *         *         0         //Soleil Scepter [Level +1~4, Skill, Luck , Exc 1~3]
   0       05,009   0       0       0            30        *         12        *         21        *         *         0         //Dragon Soul Staff [Level +1~4, Luck , Exc 1~3]
   0       05,011   0       0       0            30        *         12        *         21        *         *         0         //Staff of Kundun [Level +1~4, Luck , Exc 1~3]
   0       05,012   0       0       0            30        *         12        *         21        *         *         0         //Grand Viper Staff [Level +1~4, Luck , Exc 1~3]

// Group 0 - Excellent Kundun items [Exc 1~3, Skill/Luck where applicable]
   0       03,010    0       0       0            *         12        12        *         21        *         *         0          //Dragon Spear [Exc 1~3, Skill, Luck]
   0       00,016    0       0       0            *         12        12        *         21        *         *         0          //Sword of Destruction [Exc 1~3, Skill, Luck]
   0       04,017    0       0       0            *         12        12        *         21        *         *         0          //Celestial Bow [Exc 1~3, Skill, Luck]
   0       02,010    0       0       0            *         12        12        *         21        *         *         0          //Great Scepter [Exc 1~3, Skill, Luck]
   0       04,016    0       0       0            *         12        12        *         21        *         *         0          //Saint Crossbow [Exc 1~3, Skill, Luck]
   0       05,008    0       0       0            *         *         12        *         21        *         *         0          //Staff of Destruction [Exc 1~3, Luck]

// Group 0 - Excellent Kundun set pieces [Level +1~4, Luck]
   0       07,021   0       0       0            30        *         12        *         21        *         *         0         //Great Dragon Helm [Level +1~4, Luck , Exc 1~3]
   0       08,021   0       0       0            30        *         12        *         21        *         *         0         //Great Dragon Armor [Level +1~4, Luck , Exc 1~3]
   0       09,021   0       0       0            30        *         12        *         21        *         *         0         //Great Dragon Pants [Level +1~4, Luck , Exc 1~3]
   0       07,022   0       0       0            30        *         12        *         21        *         *         0         //Dark Soul Helm [Level +1~4, Luck , Exc 1~3]
   0       08,022   0       0       0            30        *         12        *         21        *         *         0         //Dark Soul Armor [Level +1~4, Luck , Exc 1~3]
   0       09,022   0       0       0            30        *         12        *         21        *         *         0         //Dark Soul Pants [Level +1~4, Luck , Exc 1~3]
   0       11,022   0       0       0            30        *         12        *         21        *         *         0         //Dark Soul Boots [Level +1~4, Luck , Exc 1~3]
   0       07,028   0       0       0            30        *         12        *         21        *         *         0         //Dark Master Mask [Level +1~4, Luck , Exc 1~3]
   0       08,028   0       0       0            30        *         12        *         21        *         *         0         //Dark Master Armor [Level +1~4, Luck , Exc 1~3]
   0       09,028   0       0       0            30        *         12        *         21        *         *         0         //Dark Master Pants [Level +1~4, Luck , Exc 1~3]
   0       08,017   0       0       0            30        *         12        *         21        *         *         0         //Dark Phoenix Armor [Level +1~4, Luck , Exc 1~3]
   0       08,020   0       0       0            30        *         12        *         21        *         *         0         //Thunder Hawk Armor [Level +1~4, Luck , Exc 1~3]
   0       08,023   0       0       0            30        *         12        *         21        *         *         0         //Hurricane Armor [Level +1~4, Luck , Exc 1~3]
   0       09,023   0       0       0            30        *         12        *         21        *         *         0         //Hurricane Pants [Level +1~4, Luck , Exc 1~3]
   0       10,023   0       0       0            30        *         12        *         21        *         *         0         //Hurricane Gloves [Level +1~4, Luck , Exc 1~3]
   0       11,023   0       0       0            30        *         12        *         21        *         *         0         //Hurricane Boots [Level +1~4, Luck , Exc 1~3]
   0       08,024   0       0       0            30        *         12        *         21        *         *         0         //Red Spirit Armor [Level +1~4, Luck , Exc 1~3]
   0       09,024   0       0       0            30        *         12        *         21        *         *         0         //Red Spirit Pants [Level +1~4, Luck , Exc 1~3]
   0       08,030   0       0       0            30        *         12        *         21        *         *         0         //Venom Mist Armor [Level +1~4, Luck , Exc 1~3]
   0       08,031   0       0       0            30        *         12        *         21        *         *         0         //Sylphid Ray Armor [Level +1~4, Luck , Exc 1~3]
   0       08,032   0       0       0            30        *         12        *         21        *         *         0         //Volcano Armor [Level +1~4, Luck , Exc 1~3]
   0       08,033   0       0       0            30        *         12        *         21        *         *         0         //Sunlight Armor [Level +1~4, Luck , Exc 1~3]

// Group 1 - Ancient/ACC set items [Level +1~4, Luck, ACC rama 1~2 cuando aplica]
   1       00,002    0       0       0            30        *         12        *         *         12        *         0          //Rapier [ACC Ceto, Level +1~4, Luck]
   1       00,014    0       0       0            30        *         12        *         *         12        *         0          //Lighting Sword [ACC Hyon, Level +1~4, Luck]
   1       00,032    0       0       0            30        *         12        *         *         14        *         0          //Sacred Glove [ACC Vega/Chamer, Level +1~4, Luck]
   1       02,001    0       0       0            30        *         12        *         *         12        *         0          //Morning Star [ACC Warrior, Level +1~4, Luck]
   1       04,005    0       0       0            30        *         12        *         *         12        *         0          //Silver Bow [ACC Gywen, Level +1~4, Luck]
   1       04,009    0       0       0            30        *         12        *         *         12        *         0          //Golden Crossbow [ACC Gaia, Level +1~4, Luck]
   1       05,000    0       0       0            30        *         12        *         *         12        *         0          //Skull Staff [ACC Apollo, Level +1~4, Luck]
   1       06,000    0       0       0            30        *         12        *         *         12        *         0          //Small Shield [ACC Anonymous, Level +1~4, Luck]
   1       06,006    0       0       0            30        *         12        *         *         12        *         0          //Skull Shield [ACC Heras, Level +1~4, Luck]
   1       06,009    0       0       0            30        *         12        *         *         12        *         0          //Plate Shield [ACC Eplete, Level +1~4, Luck]
   1       07,000    0       0       0            30        *         12        *         *         12        *         0          //Bronze Helm [ACC Mist, Level +1~4, Luck]
   1       07,001    0       0       0            30        *         12        *         *         14        *         0          //Dragon Helm [ACC Hyon/Vicious, Level +1~4, Luck]
   1       07,002    0       0       0            30        *         12        *         *         14        *         0          //Pad Helm [ACC Apollo/Barnake, Level +1~4, Luck]
   1       07,003    0       0       0            30        *         12        *         *         14        *         0          //Legendary Helm [ACC Anubis/Isis, Level +1~4, Luck]
   1       07,004    0       0       0            30        *         12        *         *         12        *         0          //Bone Helm [ACC Sylion, Level +1~4, Luck]
   1       07,005    0       0       0            30        *         12        *         *         14        *         0          //Leather Helm [ACC Warrior/Anonymous, Level +1~4, Luck]
   1       07,006    0       0       0            30        *         12        *         *         14        *         0          //Scale Helm [ACC Eplete/Berserker, Level +1~4, Luck]
   1       07,007    0       0       0            30        *         12        *         *         12        *         0          //Sphinx Mask [ACC Heras, Level +1~4, Luck]
   1       07,008    0       0       0            30        *         12        *         *         12        *         0          //Brass Helm [ACC Cloud, Level +1~4, Luck]
   1       07,009    0       0       0            30        *         12        *         *         14        *         0          //Plate Helm [ACC Kantata/Rave, Level +1~4, Luck]
   1       07,010    0       0       0            30        *         12        *         *         14        *         0          //Vine Helm [ACC Ceto/Drake, Level +1~4, Luck]
   1       07,011    0       0       0            30        *         12        *         *         12        *         0          //Silk Helm [ACC Gaia, Level +1~4, Luck]
   1       07,012    0       0       0            30        *         12        *         *         12        *         0          //Wind Helm [ACC Odin, Level +1~4, Luck]
   1       07,014    0       0       0            30        *         12        *         *         13        *         0          //Guardian Helm [ACC Aruan, Level +1~4, Luck]
   1       07,026    0       0       0            30        *         12        *         *         12        *         0          //Adamantine Mask [ACC Agnis, Level +1~4, Luck]
   1       07,040    0       0       0            30        *         12        *         *         14        *         0          //Red Wing Helm [ACC Chrono/Sedemen, Level +1~4, Luck]
   1       07,059    0       0       0            30        *         12        *         *         12        *         0          //Sacred Fire Helm [ACC Vega, Level +1~4, Luck]
   1       07,062    0       0       0            30        *         12        *         *         12        *         0          //Scale Helm [ACC Moros, Level +1~4, Luck]
   1       07,063    0       0       0            30        *         12        *         *         12        *         0          //Silk Helm [ACC Dione, Level +1~4, Luck]
   1       07,064    0       0       0            30        *         12        *         *         12        *         0          //Sphinx Helm [ACC Hades, Level +1~4, Luck]
   1       07,065    0       0       0            30        *         12        *         *         12        *         0          //Violent Wind Helm [ACC Ophion, Level +1~4, Luck]
   1       07,066    0       0       0            30        *         12        *         *         12        *         0          //Dark Soul Helm [ACC Meter, Level +1~4, Luck]
   1       07,067    0       0       0            30        *         12        *         *         12        *         0          //Dragon Helm [ACC Hegaton, Level +1~4, Luck]
   1       07,068    0       0       0            30        *         12        *         *         12        *         0          //Guardian Helm [ACC Castol, Level +1~4, Luck]
   1       07,069    0       0       0            30        *         12        *         *         12        *         0          //Legendary Helm [ACC Taros, Level +1~4, Luck]
   1       07,070    0       0       0            30        *         12        *         *         12        *         0          //Red Wing Helm [ACC Nemesis, Level +1~4, Luck]
   1       07,072    0       0       0            30        *         12        *         *         12        *         0          //Storm Jahad Helm [ACC Trite, Level +1~4, Luck]
   1       08,000    0       0       0            30        *         12        *         *         12        *         0          //Bronze Armor [ACC Hyperion, Level +1~4, Luck]
   1       08,001    0       0       0            30        *         12        *         *         13        *         0          //Dragon Armor [ACC Vicious, Level +1~4, Luck]
   1       08,002    0       0       0            30        *         12        *         *         12        *         0          //Pad Armor [ACC Apollo, Level +1~4, Luck]
   1       08,003    0       0       0            30        *         12        *         *         14        *         0          //Legendary Armor [ACC Anubis/Isis, Level +1~4, Luck]
   1       08,004    0       0       0            30        *         12        *         *         14        *         0          //Bone Armor [ACC Evis/Sylion, Level +1~4, Luck]
   1       08,005    0       0       0            30        *         12        *         *         12        *         0          //Leather Armor [ACC Warrior, Level +1~4, Luck]
   1       08,006    0       0       0            30        *         12        *         *         14        *         0          //Scale Armor [ACC Eplete/Berserker, Level +1~4, Luck]
