//ItemIndex   EffectIndex   EffectValue   EffectLevel   ColorR   ColorG   ColorB   ColorSize   ColorMain   ColorSide
//Heavenly Wings (Wing401.bmd) DW W4
6300 32380 6 0 0.98 0.93 0.62 0.5 0.0 0.0
6300 32380 9 0 0.98 0.93 0.62 0.5 0.0 0.0
6300 32380 15 0 0.98 0.93 0.62 0.5 0.0 0.0
6300 32380 17 0 0.98 0.93 0.62 0.5 0.0 0.0
6300 32380 21 0 0.98 0.93 0.62 0.5 0.0 0.0
6300 32380 22 0 0.98 0.93 0.62 0.5 0.0 0.0
6300 32380 29 0 0.98 0.93 0.62 0.5 0.0 0.0
6300 32380 32 0 0.98 0.93 0.62 0.5 0.0 0.0
6300 32380 34 0 0.98 0.93 0.62 0.5 0.0 0.0
6300 32380 40 0 0.98 0.93 0.62 0.5 0.0 0.0
6300 32380 41 0 0.98 0.93 0.62 0.5 0.0 0.0
6300 32380 45 0 0.98 0.93 0.62 0.5 0.0 0.0
6300 32002 13 0 1.00 0.72 0.25 2.0 0.0 0.0
6300 32002 14 0 1.00 0.72 0.25 1.0 0.0 0.0
6300 32002 16 0 1.00 0.72 0.25 2.0 0.0 0.0
6300 32002 23 0 1.00 0.72 0.25 2.0 0.0 0.0
6300 32002 33 0 1.00 0.72 0.25 2.0 0.0 0.0
6300 32002 38 0 1.00 0.72 0.25 1.0 0.0 0.0
6300 32002 39 0 1.00 0.72 0.25 2.0 0.0 0.0
6300 32002 46 0 1.00 0.72 0.25 2.0 0.0 0.0
6300 32501 10 0 0.14 0.14 1.00 0.5 0.0 0.0
6300 32501 12 0 0.14 0.14 1.00 0.5 0.0 0.0
6300 32501 35 0 0.14 0.14 1.00 0.5 0.0 0.0
6300 32501 37 0 0.14 0.14 1.00 0.5 0.0 0.0
//Avatar Wings (Wing402.bmd) DK W4
6301 32231 7 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 8 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 9 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 77 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 78 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 79 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 11 0 1.00 1.00 1.00 0.9 0.0 0.0
6301 32231 12 0 1.00 1.00 1.00 0.7 0.0 0.0
6301 32231 81 0 1.00 1.00 1.00 0.9 0.0 0.0
6301 32231 82 0 1.00 1.00 1.00 0.7 0.0 0.0
6301 32231 17 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 87 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 22 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 23 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 24 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 25 0 0.30 0.30 0.30 0.5 0.0 0.0
6301 32231 92 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 93 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 94 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 95 0 0.30 0.30 0.30 0.5 0.0 0.0
6301 32231 30 0 0.30 0.30 0.30 0.5 0.0 0.0
6301 32231 31 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 32 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 33 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 34 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 35 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 36 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 37 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 38 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 100 0 0.30 0.30 0.30 0.5 0.0 0.0
6301 32231 101 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 102 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 103 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 104 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 105 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 106 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 107 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 108 0 0.30 0.30 0.30 0.7 0.0 0.0
6301 32231 45 0 0.30 0.30 0.30 0.35 0.0 0.0
6301 32231 46 0 0.30 0.30 0.30 0.35 0.0 0.0
6301 32231 47 0 0.30 0.30 0.30 0.35 0.0 0.0
6301 32231 53 0 0.30 0.30 0.30 0.35 0.0 0.0
6301 32231 54 0 0.30 0.30 0.30 0.35 0.0 0.0
6301 32231 55 0 0.30 0.30 0.30 0.35 0.0 0.0
6301 32231 56 0 0.30 0.30 0.30 0.35 0.0 0.0
6301 32231 60 0 0.30 0.30 0.30 0.35 0.0 0.0
6301 32231 61 0 0.30 0.30 0.30 0.35 0.0 0.0
6301 32231 62 0 0.30 0.30 0.30 0.35 0.0 0.0
6301 32231 66 0 0.30 0.30 0.30 0.35 0.0 0.0
6301 32231 67 0 0.30 0.30 0.30 0.35 0.0 0.0
6301 32231 68 0 0.30 0.30 0.30 0.35 0.0 0.0
6301 32231 115 0 0.30 0.30 0.30 0.35 0.0 0.0
6301 32231 116 0 0.30 0.30 0.30 0.35 0.0 0.0
6301 32231 117 0 0.30 0.30 0.30 0.35 0.0 0.0
6301 32231 123 0 0.30 0.30 0.30 0.35 0.0 0.0
6301 32231 124 0 0.30 0.30 0.30 0.35 0.0 0.0
6301 32231 125 0 0.30 0.30 0.30 0.35 0.0 0.0
6301 32231 118 0 0.30 0.30 0.30 0.35 0.0 0.0
6301 32231 130 0 0.30 0.30 0.30 0.35 0.0 0.0
6301 32231 131 0 0.30 0.30 0.30 0.35 0.0 0.0
6301 32231 132 0 0.30 0.30 0.30 0.35 0.0 0.0
6301 32231 136 0 0.30 0.30 0.30 0.35 0.0 0.0
6301 32231 137 0 0.30 0.30 0.30 0.35 0.0 0.0
6301 32231 138 0 0.30 0.30 0.30 0.35 0.0 0.0
//Orb Wings (Wing403) ELF W4
6302 32002 9 0 1.00 0.70 0.20 1.0 0.0 0.0
6302 32002 23 0 1.00 0.70 0.20 1.0 0.0 0.0
6302 32002 65 0 1.00 0.70 0.20 1.0 0.0 0.0
6302 32002 93 0 1.00 0.70 0.20 1.0 0.0 0.0
6302 32002 38 0 1.00 0.70 0.20 0.7 0.0 0.0
6302 32002 80 0 1.00 0.70 0.20 0.7 0.0 0.0
6302 32002 62 0 1.00 0.70 0.20 0.4 0.0 0.0
6302 32002 6 0 1.00 0.70 0.20 0.4 0.0 0.0
6302 32002 9 0 1.00 0.70 0.20 0.6 0.0 0.0
6302 32002 23 0 1.00 0.70 0.20 0.6 0.0 0.0
6302 32002 65 0 1.00 0.70 0.20 0.6 0.0 0.0
6302 32002 93 0 1.00 0.70 0.20 0.6 0.0 0.0
6302 32002 38 0 1.00 0.70 0.20 0.6 0.0 0.0
6302 32002 80 0 1.00 0.70 0.20 0.6 0.0 0.0
6302 32380 7 0 0.20 0.20 1.00 0.6 0.0 0.0
6302 32380 8 0 0.20 0.20 1.00 0.6 0.0 0.0
6302 32380 13 0 0.20 0.20 1.00 0.5 0.0 0.0
6302 32380 14 0 0.20 0.20 1.00 0.5 0.0 0.0
6302 32380 15 0 0.20 0.20 1.00 0.5 0.0 0.0
6302 32380 16 0 0.20 0.20 1.00 0.5 0.0 0.0
6302 32380 63 0 0.20 0.20 1.00 0.6 0.0 0.0
6302 32380 64 0 0.20 0.20 1.00 0.5 0.0 0.0
6302 32380 69 0 0.20 0.20 1.00 0.5 0.0 0.0
6302 32380 70 0 0.20 0.20 1.00 0.5 0.0 0.0
6302 32380 71 0 0.20 0.20 1.00 0.5 0.0 0.0
6302 32380 72 0 0.20 0.20 1.00 0.5 0.0 0.0
6302 32380 24 0 0.20 0.20 1.00 0.8 0.0 0.0
6302 32380 26 0 0.20 0.20 1.00 0.3 0.0 0.0
6302 32380 27 0 0.20 0.20 1.00 0.5 0.0 0.0 
6302 32002 39 0 0.20 0.20 1.00 0.6 0.0 0.0
6302 32380 36 0 0.20 0.20 1.00 0.6 0.0 0.0
6302 32002 79 0 0.20 0.20 1.00 0.6 0.0 0.0
6302 32380 77 0 0.20 0.20 1.00 0.6 0.0 0.0
6302 32380 89 0 0.20 0.20 1.00 0.8 0.0 0.0
6302 32380 91 0 0.20 0.20 1.00 0.3 0.0 0.0
6302 32380 92 0 0.20 0.20 1.00 0.5 0.0 0.0
6302 32002 42 0 1.00 0.20 1.00 0.6 0.0 0.0
6302 32002 43 0 1.00 0.20 1.00 0.6 0.0 0.0
6302 32002 44 0 1.00 0.20 1.00 0.6 0.0 0.0
6302 32002 45 0 1.00 0.20 1.00 0.6 0.0 0.0
6302 32002 46 0 1.00 0.20 1.00 0.6 0.0 0.0
6302 32002 47 0 1.00 0.20 1.00 0.6 0.0 0.0
6302 32002 48 0 1.00 0.20 1.00 0.6 0.0 0.0
6302 32002 49 0 1.00 0.20 1.00 0.6 0.0 0.0
6302 32002 50 0 1.00 0.20 1.00 0.6 0.0 0.0
6302 32002 51 0 1.00 0.20 1.00 0.6 0.0 0.0
6302 32002 52 0 1.00 0.20 1.00 0.6 0.0 0.0
6302 32002 53 0 1.00 0.20 1.00 0.6 0.0 0.0
6302 32002 54 0 1.00 0.20 1.00 0.6 0.0 0.0 
6302 32002 98 0 1.00 0.20 1.00 0.6 0.0 0.0
6302 32002 99 0 1.00 0.20 1.00 0.6 0.0 0.0
6302 32002 100 0 1.00 0.20 1.00 0.6 0.0 0.0
6302 32002 101 0 1.00 0.20 1.00 0.6 0.0 0.0
6302 32002 102 0 1.00 0.20 1.00 0.6 0.0 0.0
6302 32002 103 0 1.00 0.20 1.00 0.6 0.0 0.0
6302 32002 104 0 1.00 0.20 1.00 0.6 0.0 0.0
6302 32002 105 0 1.00 0.20 1.00 0.6 0.0 0.0
6302 32002 106 0 1.00 0.20 1.00 0.6 0.0 0.0
6302 32002 107 0 1.00 0.20 1.00 0.6 0.0 0.0
6302 32002 108 0 1.00 0.20 1.00 0.6 0.0 0.0
6302 32002 109 0 1.00 0.20 1.00 0.6 0.0 0.0
6302 32002 110 0 1.00 0.20 1.00 0.6 0.0 0.0
6302 32501 23 0 1.00 0.70 0.20 0.4 0.0 0.0
6302 32501 38 0 1.00 0.70 0.20 0.25 0.0 0.0
6302 32501 9 0 1.00 0.70 0.20 0.2 0.0 0.0
6302 32501 65 0 1.00 0.70 0.20 0.2 0.0 0.0
6302 32501 80 0 1.00 0.70 0.20 0.25 0.0 0.0
6302 32501 93 0 1.00 0.70 0.20 0.4 0.0 0.0
//Fall Wings (Wing404.bmd) MG W4
6303 32501 4 0 1.00 0.72 0.25 0.3 0.0 0.0
6303 32501 12 0 1.00 0.72 0.25 0.3 0.0 0.0
6303 32501 20 0 1.00 0.72 0.25 0.3 0.0 0.0
6303 32501 28 0 1.00 0.72 0.25 0.3 0.0 0.0
6303 32501 36 0 1.00 0.72 0.25 0.3 0.0 0.0
