// #############################################################################
// # SSeMU MU Online Emulator
// # ---------------------------------------------------------------------------
// # Website  : https://www.ssemu.com.ar
// # Forum    : https://www.ssemu.com.ar/forum
// # YouTube  : https://www.youtube.com/@ssemu
// # WhatsApp : https://whatsapp.com/channel/0029VaATlSF8F2pDP6OlCG2z
// # ---------------------------------------------------------------------------
// # © 2025 SetecSoft Development
// # This file is part of the SSeMU MuOnline server package.
// #############################################################################

0
// ----------------------------------------------------------------------------------------------------------------------
// [*/N]        [*/N]          [*/N]          [*/N]          [*/N]          [InMs]        [InMs]      [InMs]
// SkillIndex   MinDexterity   MaxDexterity   MinCharSpeed   MaxCharSpeed   AttackDelay   BaseSpeed   MainSpeed   Comment
// ----------------------------------------------------------------------------------------------------------------------
   *            *              *              *              *              *             1500        4           // Formula: (BaseSpeed-(PlayerSpeed*MainSpeed)) [Only if AttackDelay is *]
end

1
// -------------------------------------------------------------------
// Index   Group   Value   MaxRange   DW   DK   FE   MG   DL   Comment
// -------------------------------------------------------------------
   1       1       0       *          1    1    1    1    1    //Poison
   2       1       0       *          1    1    1    1    1    //Meteorite
   3       1       0       *          1    1    1    1    1    //Lightning
   4       1       0       *          1    1    1    1    1    //Fire Ball
   5       2       1       *          1    1    1    1    1    //Flame
   7       1       0       *          1    1    1    1    1    //Ice
   8       2       0       *          1    1    1    1    1    //Twister
   9       2       1       *          1    1    1    1    1    //Evil Spirit
   10      2       1       *          1    1    1    1    1    //Hell Fire
   11      1       0       *          1    1    1    1    1    //Power Wave
   12      2       0       *          1    1    1    1    1    //Aqua Beam
   13      2       0       *          1    1    1    1    1    //Blast
   14      2       1       *          1    1    1    1    1    //Inferno
   16      0       1       *          1    1    1    1    1    //Mana Shield
   17      1       0       *          1    1    1    1    1    //Energy Ball
   19      1       0       *          1    1    1    1    1    //Falling Slash
   20      1       0       *          1    1    1    1    1    //Lunge
   21      1       0       *          1    1    1    1    1    //Uppercut
   22      1       0       *          1    1    1    1    1    //Cyclone
   23      1       0       *          1    1    1    1    1    //Slash
   24      2       1       *          1    1    1    1    1    //Triple Shot
   26      0       1       *          1    1    1    1    1    //Heal
   27      0       1       *          1    1    1    1    1    //Greater Defense
   28      0       1       *          1    1    1    1    1    //Greater Damage
   38      3       0       *          1    1    1    1    1    //Decay
   39      3       0       *          1    1    1    1    1    //Ice Storm
   41      3       1       *          1    1    1    1    1    //Twisting Slash
   42      3       1       *          1    1    1    1    1    //Rageful Blow
   43      1       0       *          1    1    1    1    1    //Death Stab
   48      0       2       *          1    1    1    1    1    //Greater Life
   51      1       0       *          1    1    1    1    1    //Ice Arrow
   52      2       0       *          1    1    1    1    1    //Penetration
   55      2       0       *          1    1    1    1    1    //Fire Slash
   56      3       1       *          1    1    1    1    1    //Power Slash
   60      3       0       *          1    1    1    1    1    //Force
   61      1       0       *          1    1    1    1    1    //Fire Burst
   62      3       1       *          1    1    1    1    1    //Earthquake
   64      0       2       *          1    1    1    1    1    //Greater Critical Damage
   65      3       1       *          1    1    1    1    1    //Electric Spark
   66      3       0       *          1    1    1    1    1    //Force Wave
end

2
// -----------------------------------------------------
// [Index]     [0~255]     [0~255]     [0~255]   [0~255]
// MapNumber   BeginPosX   BeginPosY   EndPosX   EndPosY
// -----------------------------------------------------
end
