// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2024 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

// ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
// [Ref: ItemOptionRate.txt]            [Level]   [Skill]   [Luck]    [JoL]     [Exc]     [Set]
// ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
// [00,000]    [0~13]      [0~255]      [*/N]     [*/N]     [*/N]     [*/N]     [*/N]     [*/N]     [InSec]    [*/N]      [*/N]          [*/0~150]         [*/0~150]         [*/1~1000000]
// ItemIndex   ItemLevel   Durability   Option0   Option1   Option2   Option3   Option4   Option5   Duration   MapIndex   MonsterClass   MonsterMinLevel   MonsterMaxLevel   DropRate_AL0   DropRate_AL1   DropRate_AL2   DropRate_AL3   Comment
// ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   12,015      0           0            *         *         *         *         *         *         0          *          *              12                150               100            100            100            100            //Jewel of Chaos
   13,014      0           0            *         *         *         *         *         *         0          10         *              25                150               100            100            100            100            //Loch's Feather
   13,014      1           0            *         *         *         *         *         *         0          10         *              25                150               100            100            100            100            //Monarch's Crest
   13,016      1           0            *         *         *         *         *         *         0          *          *              1                 32                100            100            100            100            //Scroll of Archangel 1
   13,016      2           0            *         *         *         *         *         *         0          *          *              33                45                100            100            100            100            //Scroll of Archangel 2
   13,016      3           0            *         *         *         *         *         *         0          *          *              46                57                100            100            100            100            //Scroll of Archangel 3
   13,016      4           0            *         *         *         *         *         *         0          *          *              58                68                100            100            100            100            //Scroll of Archangel 4
   13,016      5           0            *         *         *         *         *         *         0          *          *              69                76                100            100            100            100            //Scroll of Archangel 5
   13,016      6           0            *         *         *         *         *         *         0          *          *              77                84                100            100            100            100            //Scroll of Archangel 6
   13,016      7           0            *         *         *         *         *         *         0          *          *              85                101               100            100            100            100            //Scroll of Archangel 7
   13,017      1           0            *         *         *         *         *         *         0          *          *              1                 32                100            100            100            100            //Blood Bone 1
   13,017      2           0            *         *         *         *         *         *         0          *          *              33                45                100            100            100            100            //Blood Bone 2
   13,017      3           0            *         *         *         *         *         *         0          *          *              46                57                100            100            100            100            //Blood Bone 3
   13,017      4           0            *         *         *         *         *         *         0          *          *              58                68                100            100            100            100            //Blood Bone 4
   13,017      5           0            *         *         *         *         *         *         0          *          *              69                76                100            100            100            100            //Blood Bone 5
   13,017      6           0            *         *         *         *         *         *         0          *          *              77                84                100            100            100            100            //Blood Bone 6
   13,017      7           0            *         *         *         *         *         *         0          *          *              85                101               100            100            100            100            //Blood Bone 7
   13,031      0           0            *         *         *         *         *         *         0          *          *              25                150               100            100            100            100            //Spirit of Dark Horse        
   13,031      1           0            *         *         *         *         *         *         0          *          *              25                150               100            100            100            100            //Spirit of Dark Spirit
   14,011      1           0            *         *         *         *         *         *         0          *          *              12                69                100            100            100            100            //Star of Christmas
   14,011      3           0            *         *         *         *         *         *         0          *          *              12                69                100            100            100            100            //Heart of Love
   14,011      5           0            *         *         *         *         *         *         0          *          *              12                49                100            100            100            100            //Silver Medal
   14,011      6           0            *         *         *         *         *         *         0          *          *              50                69                100            100            100            100            //Gold Medal
   14,011      7           0            *         *         *         *         *         *         0          *          *              50                69                100            100            100            100            //Box of Heaven
   14,011      13          0            *         *         *         *         *         *         0          *          *              50                69                100            100            100            100            //Blue Heart
   14,013      0           0            *         *         *         *         *         *         0          *          *              25                150               100            100            100            100            //Jewel of Bless
   14,014      0           0            *         *         *         *         *         *         0          *          *              25                150               100            100            100            100            //Jewel of Soul
   14,016      0           0            *         *         *         *         *         *         0          *          *              46                150               100            100            100            100            //Jewel of Life
   14,017      1           0            *         *         *         *         *         *         0          *          *              1                 32                100            100            100            100            //Devil's Eye 1
   14,017      2           0            *         *         *         *         *         *         0          *          *              33                45                100            100            100            100            //Devil's Eye 2
   14,017      3           0            *         *         *         *         *         *         0          *          *              46                57                100            100            100            100            //Devil's Eye 3
   14,017      4           0            *         *         *         *         *         *         0          *          *              58                68                100            100            100            100            //Devil's Eye 4
   14,017      5           0            *         *         *         *         *         *         0          *          *              69                76                100            100            100            100            //Devil's Eye 5
   14,017      6           0            *         *         *         *         *         *         0          *          *              77                84                100            100            100            100            //Devil's Eye 6
   14,018      1           0            *         *         *         *         *         *         0          *          *              1                 32                100            100            100            100            //Devil's Key 1
   14,018      2           0            *         *         *         *         *         *         0          *          *              33                45                100            100            100            100            //Devil's Key 2
   14,018      3           0            *         *         *         *         *         *         0          *          *              46                57                100            100            100            100            //Devil's Key 3
   14,018      4           0            *         *         *         *         *         *         0          *          *              58                68                100            100            100            100            //Devil's Key 4
   14,018      5           0            *         *         *         *         *         *         0          *          *              69                76                100            100            100            100            //Devil's Key 5
   14,018      6           0            *         *         *         *         *         *         0          *          *              77                84                100            100            100            100            //Devil's Key 6
   14,021      0           0            *         *         *         *         *         *         0          *          *              50                150               100            100            100            100            //Rena
   14,021      3           0            *         *         *         *         *         *         0          *          *              25                150               100            100            100            100            //Sign of the Lord
   14,022      0           0            *         *         *         *         *         *         0          *          *              46                150               100            100            100            100            //Jewel of Creation
   14,029      1           0            *         *         *         *         *         *         0          *          *              25                46                100            100            100            100            //Symbol of Kundun 1
   14,029      2           0            *         *         *         *         *         *         0          *          *              47                65                100            100            100            100            //Symbol of Kundun 2
   14,029      3           0            *         *         *         *         *         *         0          *          *              66                77                100            100            100            100            //Symbol of Kundun 3
   14,029      4           0            *         *         *         *         *         *         0          *          *              78                83                100            100            100            100            //Symbol of Kundun 4
   14,029      5           0            *         *         *         *         *         *         0          *          *              84                91                100            100            100            100            //Symbol of Kundun 5
   14,029      6           0            *         *         *         *         *         *         0          *          *              92                113               100            100            100            100            //Symbol of Kundun 6
   14,029      7           0            *         *         *         *         *         *         0          *          *              114               150               100            100            100            100            //Symbol of Kundun 7
end
