// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

// --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
// Ref: Option, FullOption: "Tools\Reference Item Set Options.txt"
// --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
//         [Max 32 char]     [0~35]    [*/N]    [0~35]    [*/N]    [0~35]    [*/N]    [0~35]    [*/N]    [0~35]    [*/N]    [0~35]    [*/N]    [0~35]    [*/N]    [0~35]    [*/N]    [0~35]    [*/N]    [0~35]     [*/N]     [0~35]     [*/N]     [0~35]     [*/N]     [0~35]        [*/N]        [0~35]        [*/N]        [0~35]        [*/N]        [0~35]        [*/N]        [0~35]        [*/N]
// Index   Name              Option1   Value1   Option2   Value2   Option3   Value3   Option4   Value4   Option5   Value5   Option6   Value6   Option7   Value7   Option8   Value8   Option9   Value9   Option10   Value10   Option11   Value11   Option12   Value12   FullOption1   FullValue1   FullOption2   FullValue2   FullOption3   FullValue3   FullOption4   FullValue4   FullOption5   FullValue5
// --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   1       "Warrior"         0         10       *         *        19        10       *         *        13        20       *         *        14        5        *         *        10        20       *          *         1          10        *          *         15            5            17            5            0             25           *             *            *             *
   3       "Hyperion"        2         15       *         *        1         15       *         *        *         *        *         *        *         *        *         *        *         *        *          *         *          *         *          *         19            20           12            30           *             *            *             *            *             *
   5       "Eplete"          19        15       *         *        9         50       *         *        7         5        *         *        11        50       *         *        *         *        *          *         *          *         *          *         13            30           15            10           17            10           *             *            *             *
   7       "Garuda"          13        30       *         *        20        5        *         *        2         15       *         *        11        50       *         *        *         *        *          *         *          *         *          *         19            25           7             15           *             *            *             *            *             *
   9       "Kantata"         2         15       *         *        3         30       *         *        7         10       *         *        0         15       *         *        *         *        *          *         *          *         *          *         19            25           17            10           18            20           *             *            *             *
   11      "Hyon"            10        25       *         *        20        10       *         *        19        20       *         *        *         *        *         *        *         *        *          *         *          *         *          *         15            15           17            15           16            20           18            20           *             *
   13      "Apollo"          2         10       *         *        7         5        *         *        19        10       *         *        12        30       *         *        11        30       *          *         13         20        *          *         15            10           17            10           2             30           *             *            *             *
   15      "Evis"            19        15       *         *        3         20       *         *        7         10       *         *        *         *        *         *        *         *        *          *         *          *         *          *         20            5            9             50           14            5            *             *            *             *
   17      "Heras"           0         15       *         *        7         10       *         *        22        5        *         *        2         15       *         *        9         50       *          *         *          *         *          *         15            10           17            10           11            50           12            50           *             *
   19      "Anubis"          20        10       *         *        12        50       *         *        7         10       *         *        *         *        *         *        *         *        *          *         *          *         *          *         15            15           17            15           16            20           18            20           *             *
   21      "Ceto"            1         10       *         *        11        50       *         *        10        20       *         *        22        5        *         *        2         10       *          *         *          *         *          *         11            50           0             20           *             *            *             *            *             *
   23      "Gaia"            19        10       *         *        12        25       *         *        0         10       *         *        20        5        *         *        *         *        *          *         *          *         *          *         1             30           17            10           18            10           *             *            *             *
   25      "Odin"            2         15       *         *        11        50       *         *        9         50       *         *        1         30       *         *        *         *        *          *         *          *         *          *         12            50           21            5            13            50           *             *            *             *
   27      "Argo"            6         20       *         *        19        25       *         *        *         *        *         *        *         *        *         *        *         *        *          *         *          *         *          *         13            50           20            5            *             *            *             *            *             *
   29      "Gywen"           1         30       *         *        5         20       *         *        10        20       *         *        6         20       *         *        *         *        *          *         *          *         *          *         15            15           17            15           16            20           18            20           *             *
   31      "Gaion"           21        5        *         *        20        15       *         *        19        15       *         *        *         *        *         *        *         *        *          *         *          *         *          *         17            15           18            30           7             10           0             30           *             *
end 
