// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2025 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

//--------------------------------------------------------------------------------------------
// ItemIndex   ItemLevel   MonsterClass   SpecialValue   SpecialLevel   SpecialState   BagPath
//--------------------------------------------------------------------------------------------
   6676        1           *              *              *              *              "Item\Starter Ring 40"
   6676        2           *              *              *              *              "Item\Starter Ring 80"
   7179        0           *              *              *              *              "Item\Box of Luck"
   7179        1           *              *              *              *              "Item\Star of Christmas"
   7179        3           *              *              *              *              "Item\Heart of Love"
   7179        5           *              *              *              *              "Item\Silver Medal"
   7179        6           *              *              *              *              "Item\Gold Medal"
   7179        7           *              *              *              *              "Item\Box of Heaven"
   7179        8           *              *              *              *              "Item\Box of Kundun 1"
   7179        9           *              *              *              *              "Item\Box of Kundun 2"
   7179        10          *              *              *              *              "Item\Box of Kundun 3"
   7179        11          *              *              *              *              "Item\Box of Kundun 4"
   7179        12          *              *              *              *              "Item\Box of Kundun 5"
   7179        13          *              *              *              *              "Item\Blue Heart"
   *           *           42             *              *              *              "Monster\Red Dragon"
   *           *           43             *              *              *              "Monster\Golden Budge Dragon"
   *           *           53             *              *              *              "Monster\Golden Titan"
   *           *           54             *              *              *              "Monster\Golden Soldier"
   *           *           55             *              *              *              "Monster\Skeleton King"
   *           *           78             *              *              *              "Monster\Golden Goblin"
   *           *           79             *              *              *              "Monster\Golden Dragon"
   *           *           80             *              *              *              "Monster\Golden Lizard King"
   *           *           81             *              *              *              "Monster\Golden Vepar"
   *           *           82             *              *              *              "Monster\Golden Tantalos"
   *           *           83             *              *              *              "Monster\Golden Iron Wheel"
   *           *           135            *              *              *              "Monster\White Wizard"
   *           *           275            *              *              *              "Monster\Kundun"
   *           *           295            *              *              *              "Monster\Erohim"
   *           *           *              0              0              *              "Special\Chaos Item Mix"
   *           *           *              0              1              *              "Special\Wing 1 Mix"
   *           *           *              0              2              *              "Special\Wing 2 Mix"
   *           *           *              0              3              *              "Special\Cape Mix"
   *           *           *              1              0              1              "Special\Devil Square 1"
   *           *           *              1              1              1              "Special\Devil Square 2"
   *           *           *              1              2              1              "Special\Devil Square 3"
   *           *           *              1              3              1              "Special\Devil Square 4"
   *           *           *              1              4              1              "Special\Devil Square 5"
   *           *           *              1              5              1              "Special\Devil Square 6"
   *           *           *              2              0              1              "Special\Blood Castle 1"
   *           *           *              2              1              1              "Special\Blood Castle 2"
   *           *           *              2              2              1              "Special\Blood Castle 3"
   *           *           *              2              3              1              "Special\Blood Castle 4"
   *           *           *              2              4              1              "Special\Blood Castle 5"
   *           *           *              2              5              1              "Special\Blood Castle 6"
   *           *           *              2              6              1              "Special\Blood Castle 7"
   *           *           *              3              0              1              "Special\Chaos Castle 1"
   *           *           *              3              1              1              "Special\Chaos Castle 2"
   *           *           *              3              2              1              "Special\Chaos Castle 3"
   *           *           *              3              3              1              "Special\Chaos Castle 4"
   *           *           *              3              4              1              "Special\Chaos Castle 5"
   *           *           *              3              5              1              "Special\Chaos Castle 6"
   *           *           *              4              *              *              "Special\Senior Mix"
   *           *           *              20             0              1              "Special\Custom Arena"
   *           *           *              21             *              *              "Special\Luke Helper"
end
