// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline server files.
// #############################################################################

0
// ----------------------------------------------------------------------------------------
// [0~999]   [*/0000]    [*/0~12]     [*/0~31]   [*/1~7]    [*/0~23]    [*/0~59]   [*/0~59]
// Group     StartYear   StartMonth   StartDay   StartDoW   StartHour   StartMin   StartSec
// ----------------------------------------------------------------------------------------
// GOLDEN INVASION - 4 diarias (12:00, 16:00, 20:00, 23:30) - cadenas por hora (paso 1)
   0         *           *            *          *          12          0          0
   0         *           *            *          *          16          0          0
   0         *           *            *          *          20          0          0
   0         *           *            *          *          23          30         0
// RED DRAGON - 1 diaria (13:00) (paso 1)
   1         *           *            *          *          13          0          0
// SKELETON KING - 1 diaria (19:00) (paso 1)
   2         *           *            *          *          19          0          0
// WHITE WIZARD - 1 diaria (22:00) (paso 1)
   3         *           *            *          *          22          0          0
end

1
// ----------------------------------------------------------------------------
// [0~999]   [*/IndexMsg]    [*/IndexMsg]     [*/IndexMsg]        [InSec]
// Group     EnableMessage   DisableMessage   ItsNotTimeMessage   EnableNpcTime
// ----------------------------------------------------------------------------
// GOLDEN
   0         48              51               52                  600
// RED DRAGON
   1         49              53               54                  600
// SKELETON KING
   2         50              55               56                  60
// WHITE WIZARD
   3         57              57               57                  60
end

2
// ------------------------------------------------------------------
// [0~999]                            [1~255]     [1~255]
// Group   MonsterIndex   MapNumber   LocationX   LocationY   Comment
// ------------------------------------------------------------------
// ===== GOLDEN 12:00 - cadena menor (Lorencia/Devias/Noria) =====
   0       43             0           130         128         //Golden Budge Dragon x Lorencia
   0       43             0           145         135         //Golden Budge Dragon x Lorencia
   0       43             0           123         135         //Golden Budge Dragon x Lorencia
   0       78             0           128         132         //Golden Goblin x Lorencia
   0       54             2           215         30          //Golden Soldier x Devias
   0       54             2           205         35          //Golden Soldier x Devias
   0       43             7           17          25          //Golden Budge Dragon x Atlans
   0       43             7           30          18          //Golden Budge Dragon x Atlans
// ===== GOLDEN 16:00 - cadena media (Devias/Noria/Atlans) =====
   0       53             2           220         30          //Golden Titan x Devias
   0       53             2           210         32          //Golden Titan x Devias
   0       54             2           215         30          //Golden Soldier x Devias
   0       78             2           208         28          //Golden Goblin x Devias
   0       81             7           45          12          //Golden Vepar x Atlans
   0       81             7           52          20          //Golden Vepar x Atlans
// ===== GOLDEN 20:00 - cadena mayor (Devias/Tarkan) =====
   0       80             2           190         40          //Golden Lizard King x Devias
   0       83             2           188         35          //Golden Wheel x Devias
   0       82             8           45          130         //Golden Tantalos x Tarkan
   0       83             8           55          128         //Golden Wheel x Tarkan
// ===== GOLDEN 23:30 - cadena completa (todos los mapas) =====
   0       43             0           130         128         //Golden Budge Dragon x Lorencia
   0       78             0           128         132         //Golden Goblin x Lorencia
   0       54             2           215         30          //Golden Soldier x Devias
   0       53             2           220         30          //Golden Titan x Devias
   0       43             7           17          25          //Golden Budge Dragon x Atlans
   0       81             7           45          12          //Golden Vepar x Atlans
   0       80             2           190         40          //Golden Lizard King x Devias
   0       43             7           30          18          //Golden Budge Dragon x Atlans
   0       82             8           45          130         //Golden Tantalos x Tarkan
end
