// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

0
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
end

1
// ----------------------------------------------------------------------------------------------------------
//                [0~30]        [1~255]       [1~255]       [1~255]     [1~255]     [*/0~8]     [1~1000]
// MonsterIndex   SpawnRadius   RangeStartX   RangeStartY   RangeEndX   RangeEndY   Direction   MaxSpawnCount
// ----------------------------------------------------------------------------------------------------------
end

2
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   271            30            30          75          *
   271            30            35          21          *
   271            30            28          17          *
   271            30            36          11          *
   271            30            51          11          *
   271            30            42          12          *
   271            30            45          22          *
   271            30            52          24          *
   271            30            53          17          *
   271            30            60          9           *
   272            30            67          22          *
   271            30            60          22          *
   272            30            69          9           *
   272            30            74          14          *
   272            30            82          8           *
   272            30            81          19          *
   272            30            86          13          *
   272            30            92          6           *
   272            30            96          16          *
   272            30            99          9           *
   272            30            109         19          *
   270            30            110         9           *
   270            30            118         17          *
   270            30            110         35          *
   270            30            121         27          *
   270            30            119         35          *
   270            30            114         44          *
   268            30            120         50          *
   268            30            105         54          *
   268            30            119         57          *
   268            30            110         65          *
   268            30            121         67          *
   270            30            108         28          *
   268            30            111         72          *
   268            30            105         86          *
   273            30            118         84          *
   268            30            118         95          *
   273            30            104         101         *
   273            30            115         106         *
   273            30            93          96          *
   273            30            93          84          *
   273            30            82          85          *
   273            30            82          77          *
   273            30            74          76          *
   269            30            87          90          *
   269            30            68          77          *
   269            30            63          72          *
   269            30            58          78          *
   268            30            120         75          *
   269            30            57          71          *
   274            30            32          50          *
   274            30            42          51          *
   274            30            38          58          *
   274            30            29          65          *
   274            30            46          66          *
   274            30            42          97          *
   274            30            37          109         *
   274            30            47          107         *
   274            30            53          93          *
   274            30            35          87          *
   274            30            32          77          *
   274            30            41          78          *
   274            30            37          67          *
   274            30            46          86          *
   274            30            23          85          *
   274            30            23          70          *
   338            30            26          76          *
end
