// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

0
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
end

1
// ----------------------------------------------------------------------------------------------------------
//                [0~30]        [1~255]       [1~255]       [1~255]     [1~255]     [*/0~8]     [1~1000]
// MonsterIndex   SpawnRadius   RangeStartX   RangeStartY   RangeEndX   RangeEndY   Direction   MaxSpawnCount
// ----------------------------------------------------------------------------------------------------------
end

2
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   294            30            228         42          *
   294            30            182         31          *
   291            30            105         190         *
   294            30            185         15          *
   294            30            193         12          *
   292            30            98          175         *
   294            30            196         26          *
   294            30            202         12          *
   291            30            88          183         *
   294            30            214         14          *
   294            30            202         20          *
   294            30            206         28          *
   290            30            212         22          *
   294            30            221         17          *
   294            30            224         25          *
   294            30            228         31          *
   294            30            218         31          *
   294            30            211         39          *
   290            30            233         36          *
   294            30            235         45          *
   292            30            224         147         *
   291            30            225         141         *
   293            30            225         132         *
   293            30            224         124         *
   293            30            218         110         *
   293            30            219         119         *
   293            30            227         116         *
   290            30            228         109         *
   293            30            230         102         *
   293            30            222         98          *
   294            30            223         54          *
   290            30            204         61          *
   291            30            64          213         *
   291            30            48          207         *
   290            30            209         67          *
   290            30            218         65          *
   290            30            234         75          *
   290            30            234         66          *
   290            30            234         55          *
   291            30            18          173         *
   291            30            38          172         *
   291            30            28          185         *
   291            30            31          209         *
   291            30            40          231         *
   291            30            56          227         *
   291            30            81          221         *
   291            30            80          234         *
   290            30            231         95          *
   293            30            230         86          *
   290            30            222         87          *
   293            30            220         74          *
   290            30            226         63          *
   290            30            214         53          *
   290            30            223         39          *
   290            30            191         21          *
   292            30            37          222         *
   292            30            48          221         *
   292            30            72          232         *
   292            30            75          204         *
   292            30            27          174         *
   292            30            41          185         *
   291            30            52          188         *
   292            30            71          194         *
   292            30            92          225         *
   293            30            227         77          *
   292            30            97          200         *
   294            30            57          12          *
   294            30            62          11          *
   294            30            58          19          *
   294            30            67          17          *
   294            30            38          35          *
   294            30            59          40          *
   294            30            41          41          *
   294            30            50          37          *
   294            30            52          43          *
   294            30            72          39          *
   294            30            78          45          *
   294            30            72          50          *
   294            30            64          53          *
   294            30            93          35          *
   294            30            97          39          *
   294            30            103         36          *
   294            30            102         28          *
   294            30            53          52          *
   294            30            43          62          *
   294            30            127         36          *
   294            30            130         29          *
   294            30            137         29          *
   294            30            133         37          *
   294            30            132         46          *
   294            30            14          43          *
   294            30            143         37          *
   294            30            150         33          *
   294            30            163         37          *
   294            30            170         45          *
   294            30            143         56          *
   294            30            59          71          *
   294            30            73          69          *
   290            30            50          60          *
   290            30            54          65          *
   290            30            59          59          *
   290            30            82          74          *
   290            30            92          83          *
   290            30            94          92          *
   290            30            139         50          *
   290            30            157         34          *
   290            30            170         55          *
   290            30            172         62          *
   290            30            142         66          *
   290            30            153         59          *
   290            30            155         70          *
   290            30            162         61          *
   290            30            165         70          *
   290            30            170         74          *
   290            30            167         82          *
   290            30            156         89          *
   290            30            144         77          *
   290            30            87          77          *
   290            30            122         81          *
   293            30            63          134         *
   293            30            76          140         *
   293            30            70          149         *
   293            30            81          150         *
   293            30            58          124         *
   293            30            66          120         *
   293            30            71          113         *
   293            30            80          111         *
   293            30            114         88          *
   293            30            124         88          *
   293            30            131         79          *
   293            30            137         83          *
   293            30            155         79          *
   293            30            163         89          *
   293            30            180         86          *
   293            30            188         105         *
   293            30            188         99          *
   293            30            186         92          *
   292            30            187         159         *
   295            30            220         211         *
   291            30            222         221         *
   291            30            231         211         *
   291            30            208         217         *
   292            30            229         227         *
   292            30            182         177         *
   292            30            191         182         *
   292            30            196         173         *
   292            30            198         151         *
   292            30            183         140         *
   293            30            182         129         *
   292            30            175         127         *
   292            30            191         120         *
   293            30            189         138         *
   293            30            192         127         *
   293            30            180         117         *
   293            30            191         112         *
   293            30            166         122         *
   292            30            152         112         *
   292            30            146         126         *
   292            30            159         121         *
   293            30            151         121         *
   293            30            67          95          *
   290            30            69          103         *
   290            30            77          102         *
   290            30            67          85          *
   290            30            69          75          *
   290            30            70          65          *
   292            30            123         146         *
   292            30            133         145         *
   292            30            128         136         *
   292            30            138         133         *
   293            30            87          140         *
   292            30            95          138         *
   293            30            103         133         *
   293            30            111         138         *
   293            30            117         143         *
   292            30            120         132         *
   292            30            133         168         *
   292            30            141         182         *
   291            30            138         173         *
   292            30            144         169         *
   291            30            134         229         *
   291            30            155         227         *
   291            30            145         209         *
   291            30            144         198         *
   291            30            131         215         *
   291            30            120         225         *
   292            30            128         224         *
   292            30            141         221         *
   292            30            163         225         *
   292            30            155         218         *
   293            30            152         98          *
   293            30            150         106         *
   291            30            233         199         *
   292            30            223         204         *
   292            30            208         208         *
   291            30            197         204         *
   291            30            198         192         *
   291            30            187         175         *
   291            30            216         183         *
   292            30            227         180         *
   292            30            224         191         *
   291            30            193         167         *
   290            30            103         91          *
end
