// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

4
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   060            30            136         092         *
   060            30            125         082         *
   060            30            136         102         *
   060            30            132         087         *
   060            30            127         083         *
   060            30            147         087         *
   060            30            129         096         *
   060            30            140         098         *
   060            30            135         109         *
   060            30            147         102         *
   060            30            128         089         *
   060            30            145         098         *
   060            30            149         097         *
   060            30            135         095         *
   060            30            129         103         *
   060            30            149         101         *
   060            30            131         109         *
   060            30            123         086         *
   060            30            130         090         *
   060            30            122         100         *
   062            30            146         096         *
   062            30            130         105         *
   062            30            148         094         *
   062            30            134         087         *
   062            30            142         104         *
   062            30            145         102         *
   062            30            144         109         *
   062            30            128         085         *
   062            30            142         097         *
   062            30            136         094         *
   062            30            143         103         *
   062            30            129         097         *
   062            30            129         084         *
   062            30            135         095         *
   062            30            122         084         *
   062            30            140         100         *
   062            30            142         108         *
   062            30            146         091         *
   062            30            146         085         *
   062            30            146         100         *
   057            30            149         108         *
   057            30            149         090         *
   057            30            133         103         *
   057            30            130         102         *
   057            30            144         086         *
   057            30            141         104         *
   057            30            147         106         *
   057            30            135         105         *
   057            30            135         106         *
   057            30            125         109         *
   057            30            142         083         *
   057            30            137         085         *
   057            30            132         098         *
   057            30            122         083         *
   057            30            139         107         *
   058            30            143         109         *
   058            30            144         088         *
   058            30            147         096         *
   058            30            147         101         *
   058            30            140         082         *
   058            30            140         099         *
   058            30            138         105         *
   058            30            135         108         *
   058            30            129         109         *
   058            30            140         090         *
   058            30            149         096         *
   058            30            128         092         *
   058            30            145         097         *
   058            30            128         095         *
   058            30            122         107         *
   292            30            131         096         *
   292            30            138         090         *
   292            30            138         093         *
   292            30            132         094         *
   292            30            134         102         *
   292            30            125         091         *
   292            30            142         082         *
   292            30            143         105         *
   292            30            133         086         *
   292            30            137         090         *
   293            30            122         082         *
   293            30            124         100         *
   293            30            142         094         *
   293            30            125         090         *
   293            30            138         090         *
   293            30            131         098         *
   293            30            145         089         *
   293            30            125         092         *
   293            30            141         102         *
   293            30            131         086         *
   291            30            133         096         *
   291            30            125         107         *
   291            30            133         084         *
   291            30            133         105         *
   291            30            134         100         *
   291            30            123         086         *
   291            30            127         094         *
   291            30            149         101         *
   291            30            141         090         *
   291            30            140         106         *
end

4
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   069            30            138         164         *
   069            30            127         154         *
   069            30            138         174         *
   069            30            134         159         *
   069            30            129         155         *
   069            30            149         159         *
   069            30            131         168         *
   069            30            142         170         *
   069            30            137         181         *
   069            30            149         174         *
   069            30            130         161         *
   069            30            147         170         *
   069            30            151         169         *
   069            30            137         167         *
   069            30            131         175         *
   069            30            151         173         *
   069            30            133         181         *
   069            30            125         158         *
   069            30            132         162         *
   069            30            124         172         *
   071            30            148         168         *
   071            30            132         177         *
   071            30            150         166         *
   071            30            136         159         *
   071            30            144         176         *
   071            30            147         174         *
   071            30            146         181         *
   071            30            130         157         *
   071            30            144         169         *
   071            30            138         166         *
   071            30            145         175         *
   071            30            131         169         *
   071            30            131         156         *
   071            30            137         167         *
   071            30            124         156         *
   071            30            142         172         *
   071            30            144         180         *
   071            30            148         163         *
   071            30            148         157         *
   071            30            148         172         *
   073            30            151         180         *
   073            30            151         162         *
   073            30            135         175         *
   073            30            132         174         *
   073            30            146         158         *
   073            30            143         176         *
   073            30            149         178         *
   073            30            137         177         *
   073            30            137         178         *
   073            30            127         181         *
   073            30            144         155         *
   073            30            139         157         *
   073            30            134         170         *
   073            30            124         155         *
   073            30            141         179         *
   074            30            145         181         *
   074            30            146         160         *
   074            30            149         168         *
   074            30            149         173         *
   074            30            142         154         *
   074            30            142         171         *
   074            30            140         177         *
   074            30            137         180         *
   074            30            131         181         *
   074            30            142         162         *
   074            30            151         168         *
   074            30            130         164         *
   074            30            147         169         *
   074            30            130         167         *
   074            30            124         179         *
   072            30            133         168         *
   072            30            140         162         *
   072            30            140         165         *
   072            30            134         166         *
   072            30            136         174         *
   072            30            127         163         *
   072            30            144         154         *
   072            30            145         177         *
   072            30            135         158         *
   072            30            139         162         *
   075            30            124         154         *
   075            30            126         172         *
   075            30            144         166         *
   075            30            127         162         *
   075            30            140         162         *
   075            30            133         170         *
   075            30            147         161         *
   075            30            127         164         *
   075            30            143         174         *
   075            30            133         158         *
   077            30            135         168         *
   077            30            127         179         *
   077            30            135         156         *
   077            30            135         177         *
   077            30            136         172         *
   077            30            125         158         *
   077            30            129         166         *
   077            30            151         173         *
   077            30            143         162         *
   077            30            142         178         *
end
