// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

0
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
end

1
// ----------------------------------------------------------------------------------------------------------
//                [0~30]        [1~255]       [1~255]       [1~255]     [1~255]     [*/0~8]     [1~1000]
// MonsterIndex   SpawnRadius   RangeStartX   RangeStartY   RangeEndX   RangeEndY   Direction   MaxSpawnCount
// ----------------------------------------------------------------------------------------------------------
end

2
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   307            30            168         82          *
   307            30            166         73          *
   307            30            234         36          *
   306            30            215         32          *
   306            30            217         36          *
   308            30            213         38          *
   308            30            216         38          *
   306            30            214         35          *
   304            30            106         49          *
   304            30            120         97          *
   304            30            125         82          *
   304            30            137         125         *
   304            30            141         76          *
   305            30            81          80          *
   305            30            83          121         *
   305            30            88          62          *
   305            30            92          45          *
   305            30            92          86          *
   305            30            94          158         *
   305            30            94          158         *
   305            30            95          150         *
   305            30            102         175         *
   305            30            104         42          *
   305            30            104         160         *
   305            30            111         94          *
   305            30            113         155         *
   305            30            114         67          *
   305            30            125         112         *
   305            30            126         73          *
   305            30            131         94          *
   305            30            133         79          *
   305            30            133         133         *
   305            30            134         106         *
   305            30            136         66          *
   305            30            146         72          *
   305            30            148         93          *
   305            30            157         166         *
   305            30            167         127         *
   305            30            168         140         *
   305            30            168         168         *
   305            30            169         174         *
   305            30            180         40          *
   305            30            185         147         *
   305            30            194         19          *
   305            30            197         148         *
   305            30            208         168         *
   305            30            235         101         *
   306            30            85          145         *
   306            30            88          126         *
   306            30            89          109         *
   306            30            93          173         *
   306            30            100         58          *
   306            30            119         56          *
   306            30            126         156         *
   306            30            126         156         *
   306            30            136         144         *
   306            30            145         87          *
   306            30            149         112         *
   306            30            161         117         *
   306            30            167         152         *
   306            30            176         124         *
   306            30            186         89          *
   306            30            189         179         *
   306            30            190         144         *
   306            30            191         138         *
   306            30            207         54          *
   306            30            209         75          *
   306            30            221         60          *
   306            30            223         158         *
   306            30            227         52          *
   306            30            230         12          *
   306            30            233         61          *
   306            30            234         71          *
   306            30            234         146         *
   306            30            235         90          *
   307            30            86          171         *
   307            30            126         20          *
   307            30            126         26          *
   307            30            148         10          *
   307            30            148         19          *
   307            30            149         35          *
   307            30            157         16          *
   307            30            158         46          *
   307            30            166         57          *
   307            30            172         11          *
   307            30            176         60          *
   307            30            183         96          *
   307            30            187         17          *
   307            30            189         55          *
   307            30            190         40          *
   307            30            190         79          *
   307            30            194         33          *
   307            30            196         45          *
   307            30            199         108         *
   307            30            210         122         *
   307            30            212         62          *
   307            30            213         82          *
   307            30            213         137         *
   307            30            214         10          *
   307            30            225         149         *
   307            30            226         67          *
   307            30            226         140         *
   307            30            233         125         *
   307            30            234         111         *
   307            30            234         155         *
   307            30            236         135         *
   308            30            103         16          *
   308            30            113         8           *
   308            30            118         16          *
   308            30            136         23          *
   308            30            137         13          *
   308            30            150         46          *
   308            30            157         23          *
   308            30            158         10          *
   308            30            162         70          *
   308            30            164         18          *
   308            30            166         48          *
   308            30            174         23          *
   308            30            177         16          *
   308            30            189         38          *
   308            30            189         95          *
   308            30            195         26          *
   308            30            196         99          *
   308            30            200         71          *
   308            30            204         12          *
   308            30            205         31          *
   308            30            206         91          *
   308            30            214         114         *
   308            30            219         91          *
   308            30            222         75          *
   308            30            223         130         *
   308            30            228         111         *
   309            30            108         147         *
   309            30            112         47          *
   309            30            123         103         *
   306            30            228         17          *
   308            30            226         11          *
   306            30            236         33          *
   306            30            237         38          *
   307            30            232         38          *
   306            30            169         85          *
   307            30            171         82          *
   306            30            193         150         *
   305            30            195         153         *
   306            30            204         172         *
   306            30            90          203         *
   305            30            117         73          *
   305            30            114         101         *
   305            30            86          155         *
   305            30            230         132         *
   306            30            188         27          *
   306            30            228         60          *
   304            30            88          73          *
end
