// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

0
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   204            0             121         31          2
   205            0             125         27          2
   206            0             126         35          2
   207            0             120         38          2
   208            0             115         35          2
   209            0             117         27          2
   226            0             135         47          2
   256            0             96          25          2
   240            0             113         56          2
   224            0             118         11          4
end

1
// ----------------------------------------------------------------------------------------------------------
//                [0~30]        [1~255]       [1~255]       [1~255]     [1~255]     [*/0~8]     [1~1000]
// MonsterIndex   SpawnRadius   RangeStartX   RangeStartY   RangeEndX   RangeEndY   Direction   MaxSpawnCount
// ----------------------------------------------------------------------------------------------------------
end

2
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   310            30            58          47          *
   310            30            60          38          *
   310            30            65          24          *
   310            30            70          37          *
   310            30            74          20          *
   310            30            77          32          *
   310            30            78          51          *
   310            30            79          43          *
   310            30            83          10          *
   310            30            88          50          *
   310            30            88          60          *
   310            30            94          54          *
   310            30            98          60          *
   310            30            150         60          *
   310            30            159         60          *
   310            30            162         41          *
   310            30            164         18          *
   310            30            169         60          *
   310            30            176         32          *
   310            30            178         22          *
   310            30            179         48          *
   310            30            185         35          *
   310            30            191         27          *
   310            30            194         44          *
   310            30            195         33          *
   310            30            199         60          *
   310            30            201         40          *
   310            30            205         46          *
   310            30            206         45          *
   310            30            214         60          *
   311            30            22          100         *
   311            30            27          122         *
   311            30            35          78          *
   311            30            47          53          *
   311            30            47          65          *
   311            30            79          78          *
   311            30            82          67          *
   311            30            95          78          *
   311            30            103         71          *
   311            30            113         78          *
   311            30            117         99          *
   311            30            122         78          *
   311            30            135         69          *
   311            30            138         78          *
   311            30            146         68          *
   311            30            156         69          *
   311            30            157         78          *
   311            30            159         49          *
   311            30            170         47          *
   311            30            170         78          *
   311            30            173         97          *
   311            30            174         54          *
   311            30            177         78          *
   311            30            197         78          *
   311            30            210         88          *
   311            30            211         69          *
   311            30            221         78          *
   311            30            223         120         *
   311            30            225         68          *
   311            30            231         78          *
   312            30            21          88          *
   312            30            23          115         *
   312            30            30          88          *
   312            30            56          115         *
   312            30            68          115         *
   312            30            78          88          *
   312            30            79          115         *
   312            30            83          101         *
   312            30            90          88          *
   312            30            100         88          *
   312            30            114         88          *
   312            30            122         115         *
   312            30            124         88          *
   312            30            135         88          *
   312            30            145         99          *
   312            30            146         88          *
   312            30            155         115         *
   312            30            156         84          *
   312            30            168         88          *
   312            30            178         88          *
   312            30            192         88          *
   312            30            201         89          *
   312            30            202         98          *
   312            30            217         94          *
   312            30            233         102         *
   312            30            236         88          *
   313            30            19          131         *
   313            30            20          145         *
   313            30            33          130         *
   313            30            46          123         *
   313            30            71          109         *
   313            30            76          145         *
   313            30            82          107         *
   313            30            82          130         *
   313            30            88          144         *
   313            30            119         108         *
   313            30            123         130         *
   313            30            123         145         *
   313            30            149         110         *
   313            30            155         98          *
   313            30            163         130         *
   313            30            164         144         *
   313            30            197         145         *
   313            30            204         130         *
   313            30            204         130         *
   313            30            206         110         *
   313            30            218         110         *
   313            30            226         130         *
   313            30            235         110         *
   313            30            237         144         *
   313            30            240         131         *
   314            30            16          156         *
   314            30            28          156         *
   314            30            65          148         *
   314            30            92          156         *
   314            30            119         156         *
   314            30            159         156         *
   314            30            171         148         *
   314            30            177         156         *
   314            30            236         156         *
   314            30            236         156         *
   315            30            30          172         *
   315            30            49          194         *
   315            30            51          213         *
   315            30            52          171         *
   315            30            59          211         *
   315            30            68          224         *
   315            30            73          210         *
   315            30            85          230         *
   315            30            92          219         *
   315            30            100         182         *
   315            30            102         171         *
   315            30            115         204         *
   315            30            117         193         *
   315            30            133         195         *
   315            30            133         214         *
   315            30            145         208         *
   315            30            148         195         *
   315            30            159         206         *
   315            30            170         208         *
   315            30            175         197         *
   315            30            199         200         *
   315            30            222         189         *
   316            30            47          184         *
   316            30            84          201         *
   316            30            104         194         *
   316            30            117         184         *
   316            30            146         184         *
   316            30            161         194         *
   316            30            173         184         *
   316            30            212         193         *
   316            30            228         180         *
   317            30            14          164         *
   317            30            25          164         *
   317            30            41          171         *
   317            30            56          164         *
   317            30            65          234         *
   317            30            96          164         *
   317            30            114         164         *
   317            30            116         172         *
   317            30            140         230         *
   317            30            145         174         *
   317            30            147         164         *
   317            30            168         229         *
   317            30            177         167         *
   317            30            233         169         *
   316            30            54          217         *
   316            30            66          217         *
   316            30            83          217         *
   316            30            100         217         *
   316            30            134         215         *
   316            30            153         215         *
   317            30            115         221         *
   317            30            103         206         *
end
