// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

0
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
end

1
// ----------------------------------------------------------------------------------------------------------
//                [0~30]        [1~255]       [1~255]       [1~255]     [1~255]     [*/0~8]     [1~1000]
// MonsterIndex   SpawnRadius   RangeStartX   RangeStartY   RangeEndX   RangeEndY   Direction   MaxSpawnCount
// ----------------------------------------------------------------------------------------------------------
end

2
// --------------------------------------------------------------
//                [0~30]        [1~255]     [1~255]     [*/0~8]
// MonsterIndex   SpawnRadius   LocationX   LocationY   Direction
// --------------------------------------------------------------
   331            30            30          75          *
   331            30            35          21          *
   331            30            28          17          *
   331            30            36          11          *
   331            30            51          11          *
   331            30            42          12          *
   331            30            45          22          *
   331            30            52          24          *
   331            30            53          17          *
   331            30            60          9           *
   332            30            67          22          *
   331            30            60          22          *
   332            30            69          9           *
   332            30            74          14          *
   332            30            82          8           *
   332            30            81          19          *
   332            30            86          13          *
   332            30            92          6           *
   332            30            96          16          *
   332            30            99          9           *
   332            30            109         19          *
   333            30            110         9           *
   333            30            118         17          *
   333            30            110         35          *
   333            30            121         27          *
   333            30            119         35          *
   333            30            114         44          *
   334            30            120         50          *
   334            30            105         54          *
   334            30            119         57          *
   334            30            110         65          *
   334            30            121         67          *
   333            30            108         28          *
   334            30            111         72          *
   334            30            105         86          *
   335            30            118         84          *
   334            30            118         95          *
   335            30            104         101         *
   335            30            115         106         *
   335            30            93          96          *
   335            30            93          84          *
   335            30            82          85          *
   335            30            82          77          *
   335            30            74          76          *
   336            30            87          90          *
   336            30            68          77          *
   336            30            63          72          *
   336            30            58          78          *
   334            30            120         75          *
   336            30            57          71          *
   337            30            32          50          *
   337            30            42          51          *
   337            30            38          58          *
   337            30            29          65          *
   337            30            46          66          *
   337            30            42          97          *
   337            30            37          109         *
   337            30            47          107         *
   337            30            53          93          *
   337            30            35          87          *
   337            30            32          77          *
   337            30            41          78          *
   337            30            37          67          *
   337            30            46          86          *
   337            30            23          85          *
   337            30            23          70          *
   275            30            26          76          *
end
