// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # © 2023 SetecSoft Development
// # This file is part of the SSeMU MuOnline Server files.
// #############################################################################

// ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
// Find Scroll of Emperor
// Sort   Type   Index   Quantity   Level   Option1   Option2   Option3   NewOption   MapNumber   DropMinLevel   DropMaxLevel   ItemDropRate   RequireIndex   RequireState   DW   DK   FE   MG   DL   Comment
// ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   0      2      0       1000000    0       0         0         0         0           *           *              *              *              0              0              1    1    1    0    0    // Money
   0      2      0       1000000    0       0         0         0         0           *           *              *              *              0              3              1    1    1    0    0    // Money
   0      1      7191    1          0       0         0         0         0           *           45             60             10             0              1              1    1    1    0    0    // Scroll of Emperor

// ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
// Three Treasures of Mu
// Sort   Type   Index   Quantity   Level   Option1   Option2   Option3   NewOption   MapNumber   DropMinLevel   DropMaxLevel   ItemDropRate   RequireIndex   RequireState   DW   DK   FE   MG   DL   Comment
// ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   0      2      0       2000000    0       0         0         0         0           *           *              *              *              1              0              1    1    1    0    0    // Money
   0      2      0       2000000    0       0         0         0         0           *           *              *              *              1              3              1    1    1    0    0    // Money
   0      1      7192    1          0       0         0         0         0           *           62             76             10             1              1              0    1    0    0    0    // Broken Sword
   0      1      7193    1          0       0         0         0         0           *           62             76             10             1              1              0    0    1    0    0    // Tear of Elf
   0      1      7194    1          0       0         0         0         0           *           62             76             10             1              1              1    0    0    0    0    // Soul Shard of Wizard

// ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
// Gain Hero Status
// Sort   Type   Index   Quantity   Level   Option1   Option2   Option3   NewOption   MapNumber   DropMinLevel   DropMaxLevel   ItemDropRate   RequireIndex   RequireState   DW   DK   FE   MG   DL   Comment
// ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   0      2      0       3000000    0       0         0         0         0           *           *              *              *              2              0              2    2    2    0    0    // Money
   0      2      0       3000000    0       0         0         0         0           *           *              *              *              2              3              2    2    2    0    0    // Money
   0      1      7191    1          1       0         0         0         0           *           72             108            10             2              1              2    2    2    0    0    // Ring of Honor

// ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
// Secret of Dark Stone
// Sort   Type   Index   Quantity   Level   Option1   Option2   Option3   NewOption   MapNumber   DropMinLevel   DropMaxLevel   ItemDropRate   RequireIndex   RequireState   DW   DK   FE   MG   DL   Comment
// ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   0      2      0       2000000    0       0         0         0         0           *           *              *              *              3              0              0    2    0    0    0    // Money
   0      2      0       2000000    0       0         0         0         0           *           *              *              *              3              3              0    2    0    0    0    // Money
   0      1      7192    1          1       0         0         0         0           *           72             108            10             3              1              0    2    0    0    0    // Dark Stone
end
