// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # MU PIRATA - FAST SERVER: Elf shop (Tier 2 FE gear) - zen sink
// #############################################################################

// -----------------------------------------------------------------------------------------------------------
// [00,000]    [0~13]      [0~255]      [0-1]         [0-1]        [0~7]       [0~63]      [Index]
// ItemIndex   ItemLevel   Durability   SkillSwitch   LuckSwitch   Aditional   Excellent   SetOption   Comment
// -----------------------------------------------------------------------------------------------------------
   04,016      4           0            0             1            2           0           0           //Saint Crossbow
   04,017      4           0            0             1            2           0           0           //Celestial Bow
   04,019      4           0            0             1            1           0           0           //Great Reign Crossbow
   04,013      4           0            0             1            1           0           0           //Bluewing Crossbow
   04,012      4           0            0             1            1           0           0           //Serpent Crossbow
   07,014      4           0            0             1            1           0           0           //Guardian Helm
   08,014      4           0            0             1            1           0           0           //Guardian Armor
   09,014      4           0            0             1            1           0           0           //Guardian Pants
   10,014      4           0            0             1            1           0           0           //Guardian Gloves
   11,014      4           0            0             1            1           0           0           //Guardian Boots
   07,012      4           0            0             1            1           0           0           //Wind Helm
   08,012      4           0            0             1            1           0           0           //Wind Armor
   09,012      4           0            0             1            1           0           0           //Wind Pants
   10,012      4           0            0             1            1           0           0           //Wind Gloves
   11,012      4           0            0             1            1           0           0           //Wind Boots
   06,003      4           0            0             1            1           0           0           //Elven Shield
