// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # MU PIRATA - FAST SERVER: Jewel shop - ZEN SINK principal de la economía
// # Precios base definidos en Data/Item/ItemValue.txt
// #############################################################################

// -----------------------------------------------------------------------------------------------------------
// [00,000]    [0~13]      [0~255]      [0-1]         [0-1]        [0~7]       [0~63]      [Index]
// ItemIndex   ItemLevel   Durability   SkillSwitch   LuckSwitch   Aditional   Excellent   SetOption   Comment
// -----------------------------------------------------------------------------------------------------------
   12,015      0           0            0             0            0           0           0           //Jewel of Chaos
   14,013      0           0            0             0            0           0           0           //Jewel of Bless
   14,014      0           0            0             0            0           0           0           //Jewel of Soul
   14,016      0           0            0             0            0           0           0           //Jewel of Life
   14,022      0           0            0             0            0           0           0           //Jewel of Creation
   14,031      0           0            0             0            0           0           0           //Jewel of Guardian
   14,042      0           0            0             0            0           0           0           //Jewel of Gemstone
   14,043      0           0            0             0            0           0           0           //Jewel of Harmony
   14,044      0           0            0             0            0           0           0           //Lower refine stone
   14,045      0           0            0             0            0           0           0           //Higher refine stone
   12,011      1           0            0             0            0           0           0           //Stone Golem Summoning Orb
   12,011      3           0            0             0            0           0           0           //Elite Yeti Summoning Orb
   12,011      5           0            0             0            0           0           0           //Bali Summoning Orb
   12,011      6           0            0             0            0           0           0           //Soldier Summoning Orb
