// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # MU PIRATA - FAST SERVER: Wizard shop (Tier 2 DW gear) - zen sink
// #############################################################################

// -----------------------------------------------------------------------------------------------------------
// [00,000]    [0~13]      [0~255]      [0-1]         [0-1]        [0~7]       [0~63]      [Index]
// ItemIndex   ItemLevel   Durability   SkillSwitch   LuckSwitch   Aditional   Excellent   SetOption   Comment
// -----------------------------------------------------------------------------------------------------------
   05,008      4           0            0             1            2           0           0           //Staff of Destruction
   05,009      4           0            0             1            1           0           0           //Dragon Soul Staff
   05,005      4           0            0             1            1           0           0           //Legendary Staff
   05,006      4           0            0             1            1           0           0           //Staff of Resurrection
   07,003      4           0            0             1            1           0           0           //Legendary Helm
   08,003      4           0            0             1            1           0           0           //Legendary Armor
   09,003      4           0            0             1            1           0           0           //Legendary Pants
   10,003      4           0            0             1            1           0           0           //Legendary Gloves
   11,003      4           0            0             1            1           0           0           //Legendary Boots
   06,014      4           0            0             1            1           0           0           //Legendary Shield
   06,015      4           0            0             1            1           0           0           //Grand Soul Shield
   07,019      4           0            0             1            1           0           0           //Divine Helm
   08,019      4           0            0             1            1           0           0           //Divine Armor
   09,019      4           0            0             1            1           0           0           //Divine Pants
   10,019      4           0            0             1            1           0           0           //Divine Gloves
   11,019      4           0            0             1            1           0           0           //Divine Boots
