// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # MU PIRATA - FAST SERVER: Mid weapons (Tier 2) - skill + luck, zen sink
// #############################################################################

// -----------------------------------------------------------------------------------------------------------
// [00,000]    [0~13]      [0~255]      [0-1]         [0-1]        [0~7]       [0~63]      [Index]
// ItemIndex   ItemLevel   Durability   SkillSwitch   LuckSwitch   Aditional   Excellent   SetOption   Comment
// -----------------------------------------------------------------------------------------------------------
   00,012      4           0            1             1            2           0           0           //Heliacal Sword
   00,015      4           0            0             1            2           0           0           //Giant Sword
   00,013      4           0            1             1            2           0           0           //Double Blade
   00,014      4           0            1             1            2           0           0           //Lighting Sword
   01,008      4           0            0             1            2           0           0           //Crescent Axe
   03,009      4           0            0             1            2           0           0           //Bill of Balrog
   03,008      4           0            0             1            2           0           0           //Great Scythe
   04,014      4           0            0             1            2           0           0           //Aquagold Crossbow
   04,005      4           0            0             1            2           0           0           //Silver Bow
   05,005      4           0            0             1            2           0           0           //Legendary Staff
   05,006      4           0            0             1            2           0           0           //Staff of Resurrection
   02,009      4           0            0             1            2           0           0           //Master Scepter
   06,011      4           0            0             1            2           0           0           //Serpent Shield
   06,012      4           0            0             1            2           0           0           //Bronze Shield
