// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # MU PIRATA - FAST SERVER: Top weapons shop (Tier 3/4) - zen sink mayor
// #############################################################################

// -----------------------------------------------------------------------------------------------------------
// [00,000]    [0~13]      [0~255]      [0-1]         [0-1]        [0~7]       [0~63]      [Index]
// ItemIndex   ItemLevel   Durability   SkillSwitch   LuckSwitch   Aditional   Excellent   SetOption   Comment
// -----------------------------------------------------------------------------------------------------------
   00,016      4           0            1             1            3           0           0           //Sword of Destruction
   00,017      4           0            1             1            2           0           0           //Dark Breaker
   00,018      4           0            1             1            2           0           0           //Thunder Blade
   00,020      4           0            1             1            2           0           0           //Knight Blade
   00,021      4           0            1             1            2           0           0           //Dark Reign Blade
   00,031      4           0            1             1            2           0           0           //Rune Blade
   03,010      4           0            1             1            2           0           0           //Dragon Spear
   04,020      4           0            0             1            2           0           0           //Arrow Viper Bow
   04,021      4           0            0             1            2           0           0           //Sylph Wind Bow
   05,011      4           0            0             1            2           0           0           //Staff of Kundun
   05,008      4           0            0             1            2           0           0           //Staff of Destruction
   02,011      4           0            0             1            2           0           0           //Lord Scepter
   02,012      4           0            0             1            2           0           0           //Great Lord Scepter
   06,016      4           0            0             1            2           0           0           //Elemental Shield
   06,013      4           0            0             1            2           0           0           //Dragon Shield
