// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # MU PIRATA - FAST SERVER: Hanzo the Blacksmith - pets & consumibles PvP
// #############################################################################

// -----------------------------------------------------------------------------------------------------------
// [00,000]    [0~13]      [0~255]      [0-1]         [0-1]        [0~7]       [0~63]      [Index]
// ItemIndex   ItemLevel   Durability   SkillSwitch   LuckSwitch   Aditional   Excellent   SetOption   Comment
// -----------------------------------------------------------------------------------------------------------
   13,000      0           0            0             0            0           0           0           //Guardian Angel
   13,001      0           0            0             0            0           0           0           //Imp
   13,002      0           0            0             0            0           0           0           //Horn of Uniria
   13,003      0           0            0             0            0           0           0           //Dinorant
   14,007      0           1            0             0            0           0           0           //Potion of Bless
   14,007      1           1            0             0            0           0           0           //Potion of Soul
   14,017      0           1            0             0            0           0           0           //Devil Eye
   14,018      0           1            0             0            0           0           0           //Weapon of Archangel
   14,019      1           1            0             0            0           0           0           //Devil's Invitation [Level: 1]
   14,019      3           1            0             0            0           0           0           //Devil's Invitation [Level: 3]
   14,019      5           1            0             0            0           0           0           //Devil's Invitation [Level: 5]
   14,021      0           1            0             0            0           0           0           //Rena
   14,010      0           1            0             0            0           0           0           //Town Portal Scroll
