// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # MU PIRATA - FAST SERVER: Pasi the Mage (orbs & summons)
// #############################################################################

// -----------------------------------------------------------------------------------------------------------
// [00,000]    [0~13]      [0~255]      [0-1]         [0-1]        [0~7]       [0~63]      [Index]
// ItemIndex   ItemLevel   Durability   SkillSwitch   LuckSwitch   Aditional   Excellent   SetOption   Comment
// -----------------------------------------------------------------------------------------------------------
   12,011      0           0            0             0            0           0           0           //Goblin Summoning Orb
   12,011      1           0            0             0            0           0           0           //Stone Golem Summoning Orb
   12,011      2           0            0             0            0           0           0           //Assassin Summoning Orb
   12,011      3           0            0             0            0           0           0           //Elite Yeti Summoning Orb
   12,011      4           0            0             0            0           0           0           //Dark Knight Summoning Orb
   12,011      5           0            0             0            0           0           0           //Bali Summoning Orb
   12,011      6           0            0             0            0           0           0           //Soldier Summoning Orb
   13,007      0           1            0             0            0           0           0           //Contract (Archer)
   13,007      1           1            0             0            0           0           0           //Contract (Spearman)
   14,010      0           1            0             0            0           0           0           //Town Portal Scroll
