// #############################################################################
// # SSeMU MU Online Emulator
// # https://www.ssemu.com.ar
// # https://www.facebook.com/ssemuemulator
// # https://www.youtube.com/@ssemu
// # ---------------------------------------------------------------------------
// # MU PIRATA - FAST SERVER: Barmaid shop (potions)
// #############################################################################

// -----------------------------------------------------------------------------------------------------------
// [00,000]    [0~13]      [0~255]      [0-1]         [0-1]        [0~7]       [0~63]      [Index]
// ItemIndex   ItemLevel   Durability   SkillSwitch   LuckSwitch   Aditional   Excellent   SetOption   Comment
// -----------------------------------------------------------------------------------------------------------
   14,003      0           1            0             0            0           0           0           //Large Healing Potion
   14,003      0           3            0             0            0           0           0           //Large Healing Potion
   14,006      0           1            0             0            0           0           0           //Large Mana Potion
   14,006      0           3            0             0            0           0           0           //Large Mana Potion
   14,002      0           1            0             0            0           0           0           //Healing Potion
   14,002      0           3            0             0            0           0           0           //Healing Potion
   14,005      0           1            0             0            0           0           0           //Mana Potion
   14,005      0           3            0             0            0           0           0           //Mana Potion
   14,008      0           1            0             0            0           0           0           //Antidote
   14,008      0           3            0             0            0           0           0           //Antidote
   14,010      0           1            0             0            0           0           0           //Town Portal Scroll
   14,000      0           1            0             0            0           0           0           //Apple
   14,000      0           3            0             0            0           0           0           //Apple
