// #############################################################################
// # SSeMU MU Online Emulator
// # ---------------------------------------------------------------------------
// # Website  : https://www.ssemu.com.ar
// # Forum    : https://www.ssemu.com.ar/forum
// # YouTube  : https://www.youtube.com/@ssemu
// # WhatsApp : https://whatsapp.com/channel/0029VaATlSF8F2pDP6OlCG2z
// # ---------------------------------------------------------------------------
// # © 2026 SetecSoft Development
// # This file is part of the SSeMU MuOnline server package.
// #############################################################################

0
// -----------------------------------------------------------
// English
// -----------------------------------------------------------
// Index   Message
// -----------------------------------------------------------
   0       "AUTO ATTACK"
   1       "Camera 3D On"
   2       "Camera 3D Off"
   3       "Restore 3D Camera"
   4       "Monster Health Bar On"
   5       "Monster Health Bar Off"
   6       "Advanced Menu Options"
   7       "Render Options"
   8       "General"
   9       "Resolution"
   10      "Font"
   11      "Floor Map"
   12      "Map Objects"
   13      "Entities"
   14      "Shadows"
   15      "Effects"
   16      "Skill Effects"
   17      "Monster Health Bar"
   18      "Auto Attack Panel"
   19      "Auto Attack"
   20      "Whisper Sounds"
   21      "Volume"
   22      "Tooltips"
   23      "Effect Limit"
   24      "%Y-%m-%d %H:%M"
   25      "Expiration Date"
   26      "Reconnecting..."
   27      "Logging in..."
   28      "Loading character list..."
   29      "Loading character data..."
   30      "Price: %s Coin 1"
   31      "Price: %s Coin 2"
   32      "Price: %s Coin 3"
   33      "Event Time"
   34      "Disabled"
   35      "Starts in %02d day(s)"
   36      "Starts in %02d:%02d:%02d"
   37      "Open"
   38      "In Progress"
   39      "Monsters: %u | Bosses: %u"
   40      "Level: %d | Resets: %d"
   41      "Powered by SSeMU"
   42      "Golden Archer"
   43      "Reward (10 Renas)"
   44      "Reward (20 Renas)"
   45      "Reward (30 Renas)"
   46      "Reward (50 Renas)"
   47      "Reward (100 Renas)"
   48      "Submit Rena"
   49      "Registered: %d Renas"
   50      "Collected: %d Renas"
   51      "Price: %s Jewel of Bless"
   52      "Price: %s Jewel of Soul"
   53      "Price: %s Jewel of Life"
   54      "Price: %s Jewel of Chaos"
   55      "Price: %s Jewel of Creation"
   56      "Price: %s Jewel of Guardian"
   57      "Price: %s Jewel of Harmony"
   58      "Price: %s Coin1"
   59      "Price: %s Coin2"
   60      "Price: %s Coin3"
   61      "Item Bank"
   62      "Deposit 1"
   63      "Deposit 10"
   64      "Deposit All"
   65      "Withdraw 1"
   66      "Withdraw 10"
   67      "Withdraw 20"
   68      "Inventory: %d | Stored: %d"
   69      "Auto Potion"
   70      "Auto Repair"
   71      "Auto Party"
   72      "Self Buff"
   73      "Party Buff"
   74      "Auto Pickup"
   75      "Excellent Items"
   76      "Ancient Items"
   77      "Selected Items"
   78      "Jewels"
   79      "Zen"
   80      "All Items"
   81      "BOT ACTIVE"
   82      "General Settings"
   83      "Pickup Settings"
   84      "Selected Skill"
   85      "Cannot be used in a Safe Zone."
   86      "Out of range. BOT has stopped."
   87      "Challenge Quests"
   88      "No quests are currently available."
   89      "Please try again later."
   90      "Requirements"
   91      "Complete Quest"
end

1
// -----------------------------------------------------------
// Português (Brasil)
// -----------------------------------------------------------
// Índice  Mensagem
// -----------------------------------------------------------
   0       "ATAQUE AUTOMÁTICO"
   1       "Câmera 3D Ativada"
   2       "Câmera 3D Desativada"
   3       "Restaurar Câmera 3D"
   4       "Barra de Vida dos Monstros Ativada"
   5       "Barra de Vida dos Monstros Desativada"
   6       "Opções Avançadas"
   7       "Opções de Renderização"
   8       "Geral"
   9       "Resolução"
   10      "Fonte"
   11      "Mapa do Chão"
   12      "Objetos do Mapa"
   13      "Entidades"
   14      "Sombras"
   15      "Efeitos"
   16      "Efeitos de Habilidades"
   17      "Barra de Vida dos Monstros"
   18      "Painel de Ataque Automático"
   19      "Ataque Automático"
   20      "Sons de Mensagens Privadas"
   21      "Volume"
   22      "Dicas"
   23      "Limite de Efeitos"
   24      "%Y-%m-%d %H:%M"
   25      "Data de Expiração"
   26      "Reconectando..."
   27      "Entrando..."
   28      "Carregando lista de personagens..."
   29      "Carregando dados do personagem..."
   30      "Preço: %s Coin 1"
   31      "Preço: %s Coin 2"
   32      "Preço: %s Coin 3"
   33      "Tempo dos Eventos"
   34      "Desativado"
   35      "Começa em %02d dia(s)"
   36      "Começa em %02d:%02d:%02d"
   37      "Aberto"
   38      "Em Andamento"
   39      "Monstros: %u | Chefes: %u"
   40      "Nível: %d | Resets: %d"
   41      "Desenvolvido por SSeMU"
   42      "Golden Archer"
   43      "Recompensa (10 Renas)"
   44      "Recompensa (20 Renas)"
   45      "Recompensa (30 Renas)"
   46      "Recompensa (50 Renas)"
   47      "Recompensa (100 Renas)"
   48      "Entregar Rena"
   49      "Renas Registradas: %d"
   50      "Renas Coletadas: %d"
   51      "Preço: %s Jewel of Bless"
   52      "Preço: %s Jewel of Soul"
   53      "Preço: %s Jewel of Life"
   54      "Preço: %s Jewel of Chaos"
   55      "Preço: %s Jewel of Creation"
   56      "Preço: %s Jewel of Guardian"
   57      "Preço: %s Jewel of Harmony"
   58      "Preço: %s Coin1"
   59      "Preço: %s Coin2"
   60      "Preço: %s Coin3"
   61      "Banco de Itens"
   62      "Depositar 1"
   63      "Depositar 10"
   64      "Depositar Tudo"
   65      "Retirar 1"
   66      "Retirar 10"
   67      "Retirar 20"
